"","Species","n","mean.kcalw","sd.kcalw","mean.edible","sd.edible"
"1","apc",15,0.22827998721705,0.0742389276366238,1,0
"2","cam",17,0.908245488623591,0.371531403067493,0.367495562775118,0.11974195785493
"3","cao",4,0.878177222614945,0.383705344561205,0.247464908025658,0.0742757747086999
"4","cap",10,0.792538216892304,0.349177854682508,0.414258050539621,0.0586467303572659
"5","cef",14,1.17328270945726,0.226524902357212,0.140583503026969,0.0472931625759788
"6","chr",4,1.07035384782366,0.0508803912728289,0.525164665582297,0.0218389096000797
"7","cln",22,0.673322418631934,0.175053823727956,0.472085034287503,0.0430025957318101
"8","crg",2,0.847866634665611,0.134315135868309,0.176210490754265,NA
"9","crs",3,0.879630337656144,0.191469960833554,0.312683284915036,0.0347747448437728
"10","evt",23,1.2902334772262,0.241933884112907,0.157626635877218,0.0730748089131442
"11","hak",5,1.12866864226954,0.174055933396926,0.664673348280698,0.0395454346257158
"12","lid",2,1.15396522448353,0.12878824460122,0.222142259414226,0.0478820759277117
"13","map",6,NA,NA,0.181978386778306,0.115854152241239
"14","mtr",30,0.788787404273393,0.0981193130993278,0.395530176748642,0.087552647979994
"15","nul",17,1.15477652945472,0.144996287621991,0.247702969059132,0.0748436427505
"16","pab",2,0.908193833508876,0.013908574060449,NA,NA
"17","pas",5,1.24028150076055,0.0653217729944804,0.484463172420212,0.0548907168617886
"18","pio",17,1.59155044401866,0.236342835865598,0.223617169756523,0.0652493963004211
"19","pom",3,1.12503903742626,0.061472767054643,0.374049581726134,0.115894726797304
"20","prs",33,0.67530569547269,0.170323710882857,0.409147881049064,0.0470267222826576
"21","pup",5,0.895044693931599,0.318663339391464,0.2729714008299,0.0839368626955818
"22","sag",31,0.793995844259002,0.210007897121998,0.463784227354431,0.0396357097244907
"23","std",18,0.649158508501899,0.330172872405004,0.200101449693143,0.133194062844544
"24","stf",13,0.381080262411696,0.211662731208167,0.217942932450329,0.0970044661555717
"25","tec",8,0.815577288351389,0.208387977415804,0.373462949882365,0.0679434434774139
"26","tes",9,1.14497870175284,0.0788258139437657,0.165502415528518,0.0993715470943362
