site,season,id,season,species,sex,gonads,height_mm,daimeter_mm,total_mass,edible_wet_mass_g,edible_dry_mass_g,cal_g
turnbull,winter,269,winter,STF,u,y,53,110,420,64,5.684,1629
turnbull,winter,270,winter,STF,u,y,58,131,410,103,10.333,3845
turnbull,winter,271,winter,STF,male,y,56,120,690,234,20.061,5003
turnbull,winter,274,winter,STF,u,y,55,114,335,100,11.495,2338
turnbull,winter,275,winter,STF,u,y,59,115,650,250,11.85,2255
turnbull,winter,282,winter,STF,u,y,52,112,610,180,15.078,3959
turnbull,winter,283,winter,STF,u,n,77,144,1180,238,18.4,867
turnbull,winter,291,winter,STF,u,y,51,95,288,62,8.721,1787
turnbull,winter,293,winter,STF,u,y,47,90,302,44,5.161,1605
turnbull,winter,303,winter,STF,u,y,37,87,134,29,4.037,988
turnbull,winter,307,winter,STF,u,y,19,44,38,10,1.851,918
turnbull,winter,313,winter,STF,u,y,23,48,47,12,2.347,1024
stirling,winter,316,winter,STF,u,y,45,115,515,139,20.699,5266
stirling,winter,320,winter,STF,u,y,49,110,320,86,8.716,2232
stirling,winter,321,winter,STF,u,y,56,100,410,134,14.755,1164
stirling,winter,326,winter,STF,male,y,49,113,540,206,27.794,4792
stirling,winter,328,winter,STF,u,y,45,103,280,77,10.961,3900
stirling,winter,331,winter,STF,u,y,44,98,300,92,13.029,5060
stirling,winter,332,winter,STF,u,y,20,44,34,9,1.49,1014
stirling,winter,335,winter,STF,female,y,29,63,88,26,4.41,3280
stirling,winter,338,winter,STF,u,y,32,63,79,23,4.279,5370
stirling,winter,339,winter,STF,u,y,27,49,39,11,1.047,2680
stirling,winter,343,winter,STF,u,y,32,57,70,16,2.198,4859
stirling,winter,349,winter,STF,male,y,51,101,380,123,20.96,4933
stirling,winter,354,winter,STF,u,y,25,51,52,9,1.642,5046
barney,winter,365,winter,STF,male,y,74,114,640,141,9.478,4298
barney,winter,367,winter,STF,u,y,56,116,610,124,16.692,3872
barney,winter,368,winter,STF,female,y,43,102,450,50,5.206,2758
barney,winter,370,winter,STF,u,y,44,100,385,91,14.868,3174
barney,winter,371,winter,STF,u,y,41,95,215,64,13.522,1484
barney,winter,373,winter,STF,NA,n,49,108,510,74,8.717,2813
barney,winter,378,winter,STF,u,y,41,89,265,54,8.361,1889
barney,winter,382,winter,STF,u,y,43,90,265,52,12.839,1525
barney,winter,385,winter,STF,u,y,22,44,42,11,2.209,1537
barney,winter,388,winter,STF,male,y,23,53,57,13,3.27,1614
barney,winter,403,winter,STF,u,y,39,81,194,55,11.509,2573
barney,winter,406,winter,STF,male,y,34,79,178,47,9.616,1847
turnbull,summer,1002,summer,STF,u,y,60,125,695,128,15.153,3584
turnbull,summer,1006,summer,STF,u,y,33,62,96,21,8.294,2938
turnbull,summer,1008,summer,STF,u,y,41,86,230,38,4.811,2870
turnbull,summer,1012,summer,STF,u,y,27,53,66,20,2.874,3105
turnbull,summer,1014,summer,STF,u,y,38,83,206,44,7.54,767
turnbull,summer,1017,summer,STF,u,y,64,125,840,97,8.033,2960
turnbull,summer,1021,summer,STF,u,y,57,122,740,186,16.016,3642
turnbull,summer,1023,summer,STF,u,y,65,119,680,93,13.826,3278
turnbull,summer,1026,summer,STF,u,y,19,42,29,6,0.608,2884
turnbull,summer,1027,summer,STF,u,y,27,55,78,20,1.722,2096
turnbull,summer,1028,summer,STF,male,y,57,123,760,97,8.958,3558
turnbull,summer,1032,summer,STF,u,y,61,115,608,86,10.586,2804
turnbull,summer,1034,summer,STF,u,y,26,54,61,12,1.463,1621
barney,summer,1038,summer,STF,u,y,42,81,222,33,4.226,2973
barney,summer,1040,summer,STF,male,y,38,77,168,38,5.22,3178
barney,summer,1041,summer,STF,male,y,34,63,95,27,4.017,2709
barney,summer,1043,summer,STF,u,y,45,96,352,94,10.832,2961
barney,summer,1044,summer,STF,male,y,34,73,153,37,5.3,2002
barney,summer,1049,summer,STF,u,y,35,69,128,33,3.003,2713
barney,summer,1050,summer,STF,male,y,41,89,276,61,9.541,3223
barney,summer,1061,summer,STF,male,y,39,70,146,39,3.202,2503
barney,summer,1063,summer,STF,u,y,15,39,26,7,1.421,2342
barney,summer,1066,summer,STF,u,y,44,112,462,63,7.148,3348
barney,summer,1072,summer,STF,u,y,23,46,41,8,1.099,5035
barney,summer,1075,summer,STF,u,y,21,49,45,14,2,3150
stirling,summer,1083,summer,STF,male,y,60,115,500,109,13.484,4605
stirling,summer,1084,summer,STF,u,y,54,105,400,85,10.709,4816
stirling,summer,1085,summer,STF,u,y,54,96,320,64,6.834,3650
stirling,summer,1088,summer,STF,male,y,34,70,83,29,3.1273,3949
stirling,summer,1094,summer,STF,u,y,51,99,389,88,14.706,4358
stirling,summer,1102,summer,STF,u,y,33,64,95,29,2.792,2561
stirling,summer,1104,summer,STF,male,y,55,111,409,159,13.014,1943
stirling,summer,1105,summer,STF,female,y,36,65,76,25,2.405,3323
stirling,summer,1107,summer,STF,u,y,29,65,83,23,3.04,4541
stirling,summer,1108,summer,STF,male,y,31,57,87,29,2.935,3253
stirling,summer,1109,summer,STF,u,y,21,54,52,13,1.654,2651
stirling,summer,1113,summer,STF,female,y,24,53,48,14,1.547,2437
