SIN,N,C ,Size,Species,Weight,Dissectwt,Sex,Site,Season,SiteNumber,Tissue,Tray,PercentN,PercentC,CN
403900,10.11,-15.12,470,apc,731.97,,,Soda Bay,Spring,9,,3,5.519662083,23.37205354,4.234326882
403901,10.85,-15.18,460,apc,633.49,,,Soda Bay,Spring,9,,3,6.801701647,26.87886601,3.95178551
403902,9.17,-16.08,240,apc,131.77,,,Soda Bay,Spring,9,,3,4.516209107,21.18590087,4.691080588
403903,9.53,-13.49,80,apc,14.54,,,Soda Bay,Spring,8,,3,4.679432618,21.13326318,4.51620205
403904,9.08,-13.68,80,apc,13.93,,,Soda Bay,Spring,8,,3,4.020744602,18.61599876,4.629987877
403905,9.16,-15.25,220,apc,260.48,,,Soda Bay,Summer,9,,3,6.649071903,29.29698039,4.406175901
403906,10.13,-16.31,200,apc,227.94,,,Soda Bay,Summer,9,,3,7.225525002,30.59437199,4.234207477
403907,11.13,-15.8,270,apc,381.36,,,Soda Bay,Summer,9,,3,7.162219936,30.14920308,4.209477418
403908,10.3,-16.19,230,apc,291.61,,,Soda Bay,Summer,9,,3,7.570558601,32.64116047,4.311592076
403909,10.42,-15.35,230,apc,285.99,,,Soda Bay,Summer,9,,3,7.253535899,31.62503606,4.359947548
403925,10.81,-16.56,85,sag,177.06,51.82,,Craig,Spring,2,,1,10.80772435,48.76700954,4.512236614
403926,11.11,-16.4,81,sag,153.86,43.96,,Craig,Spring,2,,1,11.32226566,46.91124424,4.143273586
403927,11.27,-16.35,62,sag,56.73,22.77,,Craig,Spring,2,,1,12.4483284,49.59774486,3.984289558
403928,10.6,-16.53,60,sag,54.29,20.61,,Craig,Spring,2,,1,10.85100507,48.82452914,4.499539795
403929,9.52,-16.22,23,sag,3.4,1.57,,Craig,Spring,2,,1,10.57790536,46.45358557,4.391567518
403930,11.11,-16.41,64.5,sag,79.99,42.37,,Craig,Summer,2,,1,9.710537121,42.84968596,4.412699877
403931,11.02,-17.06,55.5,sag,61.37,23.51,,Craig,Summer,2,,1,10.6024791,46.64829719,4.399753752
403932,11.37,-16.12,67,sag,96,48.24,,Craig,Summer,2,,1,10.65442231,44.38745634,4.166106341
403933,10.79,-16.87,51,sag,39.88,18.73,,Craig,Summer,2,,1,11.15786153,47.33777373,4.242548952
403934,11.39,-15.97,73.5,sag,124.09,57.08,,Craig,Summer,2,,1,9.771929133,38.26444547,3.915751429
403935,11.37,-16.23,42,prs,24.08,7.22,,Craig,Spring,2,,1,10.14134043,45.18541688,4.455566518
403936,11.35,-16.34,45,prs,27.29,10.45,,Craig,Spring,2,,1,9.73555716,44.39616952,4.560208398
403937,10.47,-17.02,52,prs,34.57,8.43,,Craig,Spring,2,,1,9.529710949,49.00947295,5.142807921
403938,10.41,-16.95,39,prs,17.71,6.47,,Craig,Spring,2,,1,10.31720033,47.2591391,4.5806166
403939,11.35,-16.18,47.5,prs,31.61,9.98,,Craig,Spring,2,,1,11.1580647,45.86919806,4.110856077
403940,11.47,-16.68,53,prs,49.29,19.85,,Craig,Summer,2,,1,10.56045319,45.6677273,4.324409801
403941,11.65,-16.44,58,prs,62.42,22.28,,Craig,Summer,2,,1,9.911408729,43.16081819,4.354660308
403942,11.7,-16.67,55.5,prs,52.52,20.93,,Craig,Summer,2,,1,10.03447888,42.34907658,4.220356344
403943,11.64,-16.65,60,prs,84.15,31.6,,Craig,Summer,2,,1,10.09887231,43.8532237,4.342388175
403944,11.75,-16.6,54,prs,51.32,19.57,,Craig,Summer,2,,1,10.31845724,44.16368415,4.280066595
403945,9.78,-16.28,50,cln,42.32,16.04,,Craig,Spring,2,,1,10.97330397,47.15044746,4.296832345
403946,9.69,-16.34,42,cln,22.19,10.86,,Craig,Spring,2,,1,10.0902548,45.49055664,4.5083655
403947,10.07,-16.31,52,cln,47.14,22.27,,Craig,Spring,2,,1,11.31805604,47.4833222,4.19536023
403948,9.61,-16.3,54.5,cln,49.03,25.68,,Craig,Spring,2,,1,10.26098313,47.45524742,4.62482462
403949,9.8,-16.03,30,cln,9.99,3.96,,Craig,Spring,2,,1,10.59080183,46.55312906,4.395618933
403950,9.44,-16.42,44,cln,26.4,12.44,,Craig,Summer,2,,1,9.982323657,41.01039602,4.108301577
403951,9.49,-16.63,59,cln,56.31,27.31,,Craig,Summer,2,,1,10.21474295,41.61354565,4.073871058
403952,9.59,-16.71,59.5,cln,65.15,33.23,,Craig,Summer,2,,1,10.28181402,44.04841176,4.284108981
403953,9.64,-16.51,56.5,cln,46.08,19.41,,Craig,Summer,2,,1,11.28949559,45.76925965,4.054145669
403954,9.77,-16.34,46.5,cln,27.61,12.28,,Craig,Summer,2,,1,10.21998364,40.51923668,3.964706609
403955,12.46,-16.08,27,nul,2.88,0.68,,Craig,Spring,2,,3,11.0606255,43.45305302,3.928625287
403956,11.98,-16.21,29,nul,4.02,0.94,,Craig,Spring,2,,3,11.4234919,43.920063,3.84471433
403957,11.98,-16.17,30,nul,3.47,0.77,,Craig,Spring,2,,3,11.06034849,43.41742996,3.925502891
403958,12.02,-16.2,25,nul,2.51,0.54,,Craig,Spring,2,,3,11.07683563,43.79598751,3.953835643
403959,11.8,-16.22,27,nul,2.87,0.75,,Craig,Spring,2,,3,10.71997291,42.61925561,3.975686877
403960,11.64,-14.8,55,tec,44.08,12.18,m,Nossuk,Spring,4,,1,12.08098766,50.18836277,4.154326135
403961,11.15,-13.8,52,tec,41.61,16.4,m,Nossuk,Spring,4,,1,11.6773269,48.78163081,4.177465548
403962,11.2,-13.97,57,tec,40.98,16.29,m,Nossuk,Spring,4,,1,10.55857822,42.66386094,4.040682377
403963,12.21,-14.23,59,tec,50.67,14.1,m,Nossuk,Spring,4,,1,12.70285175,47.01492906,3.701131841
403964,12.29,-14.19,66,tec,84.92,37.95,m,Nossuk,Spring,4,,2,12.18326227,48.81637683,4.006839529
403965,12.51,-17.16,29.5,cao,7.01,2.13,f/gravid,Craig,Spring,5,,2,9.502193439,42.63905506,4.487285524
403966,12.83,-17.54,29,cao,7.61,1.26,f,Craig,Spring,5,,4,9.109000833,43.75370986,4.80334898
403967,12.26,-16.62,64,cef,23.67,3.49,,Craig,Spring,5,,2,11.88036293,47.27852942,3.97955262
403968,11.41,-17.6,67,cef,29.21,5.77,,Craig,Spring,5,,2,11.67147927,52.57055098,4.504189211
403969,12.14,-17.21,69,cef,29.23,5.72,,Craig,Spring,5,,2,11.06493603,49.08562062,4.436141381
403970,11.93,-16.85,53,cef,11.37,1.54,,Craig,Spring,5,,2,12.19562728,47.56959043,3.900544788
403971,11.96,-17.1,45,cef,8.03,1.27,,Craig,Spring,5,,2,12.08547645,48.01768701,3.973172857
403972,10.09,-13.91,24,tes,5.44,1,,Craig,Spring,5,,3,12.87260165,44.68975123,3.471695344
403973,9.72,-13.54,26,tes,7.53,2.68,,Craig,Spring,5,,2,12.7383463,51.05160211,4.007710335
403974,9.79,-13.93,23,tes,6.65,0.36,,Craig,Spring,5,,3,12.18427084,43.41857473,3.563493892
403975,10.26,-13.28,24,tes,4.57,1.35,,Craig,Spring,5,,2,12.23665481,48.46573187,3.960701075
403976,10.55,-13.65,21,tes,3.98,0.39,,Craig,Spring,5,,3,13.10933202,45.50733061,3.471369138
403977,13.03,-15.17,143,cap,310.54,149.95,m,Soda Bay,Spring,6,,2,10.52399481,40.7219266,3.869436212
