Season,PreyCat,Mean,SD, 0.025 , 0.050 , 0.250 , 0.500 , 0.750 , 0.950 , 0.975 
Fall,Clam,0.581,0.038,0.506,0.519,0.556,0.58,0.606,0.643,0.655
Spring,Clam,0.657,0.066,0.507,0.539,0.62,0.665,0.701,0.751,0.769
Summer,Clam,0.531,0.067,0.385,0.417,0.491,0.538,0.576,0.629,0.644
Winter,Clam,0.67,0.08,0.525,0.558,0.633,0.676,0.718,0.777,0.794
Fall,Crab,0.21,0.034,0.143,0.153,0.188,0.211,0.233,0.266,0.278
Spring,Crab,0.067,0.037,0.014,0.018,0.039,0.061,0.088,0.137,0.154
Summer,Crab,0.066,0.033,0.016,0.02,0.041,0.061,0.086,0.126,0.142
Winter,Crab,0.219,0.063,0.084,0.109,0.18,0.223,0.261,0.315,0.332
Fall,Cucumber,0.045,0.023,0.01,0.014,0.027,0.041,0.058,0.088,0.097
Spring,Cucumber,0.061,0.058,0.003,0.005,0.019,0.043,0.084,0.183,0.217
Summer,Cucumber,0.102,0.085,0.005,0.007,0.034,0.079,0.153,0.271,0.312
Winter,Cucumber,0.022,0.023,0.002,0.002,0.007,0.015,0.028,0.064,0.085
Fall,Mussel,0.012,0.01,0,0.001,0.005,0.009,0.017,0.029,0.035
Spring,Mussel,0.03,0.039,0,0,0.003,0.012,0.043,0.113,0.138
Summer,Mussel,0.039,0.041,0,0.001,0.005,0.023,0.061,0.124,0.144
Winter,Mussel,0.011,0.03,0,0,0.001,0.004,0.01,0.036,0.053
Fall,Snail,0.034,0.016,0.01,0.012,0.022,0.032,0.043,0.063,0.072
Spring,Snail,0.032,0.03,0.002,0.003,0.011,0.023,0.043,0.094,0.114
Summer,Snail,0.042,0.035,0.004,0.005,0.016,0.033,0.058,0.114,0.136
Winter,Snail,0.015,0.015,0.001,0.002,0.005,0.01,0.02,0.044,0.056
Fall,Tegula,0.074,0.029,0.027,0.032,0.053,0.071,0.093,0.126,0.136
Spring,Tegula,0.087,0.058,0.008,0.012,0.039,0.075,0.125,0.197,0.215
Summer,Tegula,0.163,0.08,0.022,0.034,0.101,0.164,0.221,0.295,0.317
Winter,Tegula,0.031,0.027,0.003,0.004,0.012,0.023,0.042,0.085,0.104
Fall,Urchin,0.044,0.019,0.014,0.017,0.031,0.042,0.056,0.08,0.088
Spring,Urchin,0.066,0.039,0.005,0.009,0.034,0.063,0.094,0.135,0.149
Summer,Urchin,0.056,0.034,0.006,0.01,0.029,0.052,0.078,0.119,0.132
Winter,Urchin,0.032,0.029,0.002,0.003,0.01,0.023,0.045,0.092,0.112
