OtterID,Run,N,C,distance,Season,Site
163532,1,12.57,-13.89,0,Summer,Tonowek
163532,1,12.52,-13.26,0.4,Summer,Tonowek
163532,1,12.11,-13.74,0.8,Summer,Tonowek
163532,1,12.29,-13.72,1.4,Spring,Tonowek
163532,1,12.01,-15.46,1.9,Spring,Tonowek
163532,1,8.87,-19.98,2.5,Spring,Tonowek
163532,1,12.04,-15.76,3.3,Winter,Tonowek
163532,1,13.49,-14.27,3.8,Winter,Tonowek
163532,1,13.19,-14.73,4.5,Winter,Tonowek
163532,1,11.2,-17.65,5.2,Fall,Tonowek
163532,1,11.9,-16.3,5.5,Fall,Tonowek
163532,2,13.01,-12.89,0,Summer,Tonowek
163532,2,12.67,-13.16,0.8,Summer,Tonowek
163532,2,12.61,-13.31,1.5,Spring,Tonowek
163532,2,12.65,-13.19,2.1,Spring,Tonowek
163532,2,12.6,-13.24,2.8,Spring,Tonowek
163532,2,12.42,-13.95,3.4,Winter,Tonowek
163532,2,12.16,-14.03,4.9,Fall,Tonowek
163532,2,12.47,-14.08,5.6,Fall,Tonowek
163532,3,12.39,-12.65,1.5,Spring,Tonowek
163532,3,12.63,-13.1,1.7,Spring,Tonowek
163532,3,12.74,-13.57,1.9,Spring,Tonowek
