PreyCat,Season,Cmean,Nmean,Csd,Nsd,Cse,Nse
Clam,Spring,-16.13157621,9.567352941,0.76879682,1.053767581,0.131847567,0.180719649
Clam,Summer,-16.22254618,10.18931034,0.635462791,1.007230755,0.118002478,0.187038056
Clam,Winter,-16.60002292,9.833043478,0.761777277,0.886312251,0.158841542,0.18480888
Crab,Spring,-14.25349367,11.80421053,1.054329243,1.281770979,0.241879717,0.29405843
Crab,Summer,-14.7441629,12.0085,1.208917703,0.967907537,0.270322216,0.216430705
Crab,Winter,-15.72310023,11.44333333,1.461066425,0.978148762,0.487022142,0.326049587
Cucumber,Spring,-13.66937018,9.748,1.193604,0.737102435,0.533795936,0.32964223
Cucumber,Summer,-14.83876272,10.228,0.540315682,0.708145465,0.241636519,0.31669228
Cucumber,Winter,-14.47387937,10.938,0.185144089,1.031973837,0.082798954,0.46151273
Mussel,Spring,-17.03122835,8.918888889,0.659240709,0.773230956,0.219746903,0.257743652
Mussel,Summer,-17.75366658,8.59,1.184535781,0.590338886,0.39484526,0.196779629
Mussel,Winter,-17.49188742,8.96,1.120829221,0.712544735,0.337942725,0.214840321
Snail,Spring,-15.91724154,11.72923077,0.336770525,0.571554336,0.093403338,0.158520651
Snail,Summer,-15.78403551,11.39090909,0.505448675,0.839374226,0.152398509,0.253080851
Snail,Winter,-16.02618969,11.35428571,0.456489175,0.630049129,0.172536691,0.238136187
Star,Spring,-15.94794256,10.64,1.024644277,1.587671251,0.591578649,0.916642424
Star,Summer,-16.8847108,9.600909091,0.976056505,1.20869727,0.294292109,0.364435939
Star,Winter,-15.35809747,9.54,1.387119828,0.946185324,0.693559914,0.473092662
Tegula,Spring,-13.37068275,10.082,0.547664472,0.341716257,0.244922998,0.152820156
Tegula,Summer,-14.21454255,9.916666667,0.925204912,0.245017006,0.534167305,0.141460634
Tegula,Winter,-13.87422499,10.37,NA,NA,NA,NA
Urchin,Spring,-12.48859027,7.637142857,2.154749635,1.598704833,0.81441881,0.60425363
Urchin,Summer,-14.14842537,8.521333333,2.049076575,1.492064086,0.529069297,0.385249291
Urchin,Winter,-12.46436588,7.461428571,2.048768828,0.460558667,0.77436183,0.174074814
