Season,N,C
Summer,12.28,-13.56
Summer,12.08,-13.57
Spring,11.91,-13.97
Spring,11.95,-14.13
Spring,12.16,-14.05
Winter,12.06,-14.06
Winter,12.07,-13.9
Winter,12.7,-13.14
Summer,12.9,-13.37
Summer,12.77,-13.25
Spring,12.63,-13.77
Spring,12.67,-14.58
Winter,12.34,-16.44
Winter,12.62,-16.32
Winter,13.48,-15.13
Fall,13.43,-15.14
Fall,12.68,-13.95
Summer,12.26,-13.32
Winter,13.2,-13.5
Fall,13.55,-13.04
Fall,13.43,-13.16
Fall,13.42,-13.3
Summer,13.27,-12.91
Summer,12.65,-12.81
Spring,12.81,-12.78
Spring,12.59,-12.95
Spring,13.14,-12.72
Winter,13.39,-12.57
Winter,13.54,-12.71
Fall,13.57,-12.88
Fall,13.59,-13.18
Fall,13.58,-13.17
Summer,13.76,-13.01
Summer,13.58,-13.38
Summer,12.41,-13.61
Summer,12.43,-13.18
Spring,12.32,-13.01
Spring,12.22,-12.98
Spring,12.28,-12.56
Winter,12.56,-12.05
Winter,12.25,-12.37
Fall,12.06,-11.5
Fall,12.05,-11.67
Fall,12.14,-11.8
Summer,12.44,-12.35
Summer,13.22,-12.65
Summer,12.8,-13.01
Spring,12.33,-13.7
Spring,10.95,-15.63
Winter,11.85,-15.74
Winter,13.46,-14.55
Winter,11.46,-16.1
Fall,11.42,-15
Fall,12.48,-12.78
Fall,13.3,-12.15
Summer,13.11,-13.16
Summer,12.74,-13.89
Summer,13.89,-13.57
Summer,13.47,-12.96
Spring,12.74,-13.58
Spring,13.74,-13.51
Spring,13.43,-13.4
Winter,14.01,-13.27
Winter,13.96,-13.14
Fall,13.62,-13.03
Fall,13.54,-12.76
Fall,13.39,-12.75
Summer,13.9,-12.77
Summer,12.41,-13.83
Summer,12.61,-13.13
Spring,13.03,-13.18
Spring,12.88,-13.45
Spring,12.5,-14.04
Winter,12.27,-14.28
Winter,12.94,-14.25
Fall,12.54,-14.79
Fall,12.33,-14.59
Summer,13.38,-12.88
Summer,12.63,-12.92
Spring,13.46,-12.92
Spring,13.61,-12.58
Spring,13.81,-13.03
Winter,14.05,-13.59
Winter,14.16,-13.63
Fall,13.99,-13.81
Fall,13.87,-12.84
Fall,13.75,-12.41
Summer,14.2,-12.91
Summer,13.35,-12.37
Spring,13.79,-12.29
Spring,14.26,-12.63
Spring,14.42,-12.91
Winter,14.33,-13.08
Winter,14.33,-13.39
Fall,14.54,-13.05
Fall,14.58,-12.45
Summer,12.44,-13.1
Summer,12.07,-13.06
Spring,12.36,-13.53
Spring,12.86,-13.8
Spring,13.09,-13.1
Winter,12.92,-13.36
Winter,12.85,-12.21
Fall,12.45,-12.87
Fall,12.87,-13.02
Fall,12.61,-12.78
Winter,12.47,-13.32
Fall,12.19,-13.44
Fall,12.4,-13.61
Fall,12.76,-13.08
Summer,13.26,-12.55
Summer,13.39,-12.87
Winter,13.35,-12.76
Fall,13.57,-12.6
Fall,13.45,-12.73
Summer,12.75,-13.22
Summer,12.65,-13.28
Spring,12.83,-13.33
Spring,13.34,-12.82
Spring,13.66,-12.33
Winter,13.12,-12.64
Winter,13.4,-12.67
Fall,12.73,-13.01
Fall,12.67,-13.02
Summer,12.56,-13.04
Summer,12.31,-13.22
