PreyCat,Season,C,N,Mean,SD,2.50%,5%,25%,50%,75%,95%,97.50%
Clam,Fall,2,3.1,0.749,0.037,0.669,0.683,0.725,0.751,0.774,0.807,0.818
Clam,Spring,2,3.1,0.75,0.125,0.517,0.566,0.681,0.752,0.83,0.946,0.963
Clam,Summer,2,3.1,0.593,0.09,0.402,0.45,0.541,0.594,0.648,0.737,0.767
Clam,Winter,2,3.1,0.931,0.045,0.822,0.847,0.91,0.941,0.962,0.983,0.987
Crab,Fall,2,3.1,0.082,0.019,0.048,0.052,0.069,0.081,0.094,0.115,0.122
Crab,Spring,2,3.1,0.013,0.009,0.002,0.003,0.007,0.011,0.018,0.031,0.037
Crab,Summer,2,3.1,0.022,0.013,0.004,0.006,0.012,0.019,0.029,0.047,0.053
Crab,Winter,2,3.1,0.016,0.014,0.002,0.002,0.006,0.012,0.022,0.043,0.053
Cucumber,Fall,2,3.1,0.018,0.01,0.004,0.005,0.01,0.016,0.023,0.036,0.042
Cucumber,Spring,2,3.1,0.006,0.006,0,0.001,0.002,0.005,0.009,0.018,0.021
Cucumber,Summer,2,3.1,0.014,0.012,0.001,0.001,0.005,0.01,0.018,0.038,0.045
Cucumber,Winter,2,3.1,0.005,0.005,0,0,0.001,0.003,0.006,0.015,0.019
Mussel,Fall,2,3.1,0.055,0.023,0.018,0.022,0.038,0.052,0.069,0.096,0.107
Mussel,Spring,2,3.1,0.174,0.098,0.005,0.011,0.109,0.178,0.236,0.315,0.354
Mussel,Summer,2,3.1,0.266,0.072,0.127,0.151,0.22,0.266,0.31,0.379,0.402
Mussel,Winter,2,3.1,0.024,0.03,0.001,0.001,0.005,0.013,0.031,0.088,0.112
Snail,Fall,2,3.1,0.047,0.016,0.02,0.023,0.035,0.045,0.057,0.076,0.083
Snail,Spring,2,3.1,0.011,0.009,0.001,0.002,0.005,0.009,0.015,0.03,0.035
Snail,Summer,2,3.1,0.017,0.012,0.003,0.004,0.008,0.014,0.024,0.04,0.048
Snail,Winter,2,3.1,0.014,0.014,0.001,0.001,0.004,0.009,0.018,0.043,0.052
Urchin,Fall,2,3.1,0.05,0.019,0.019,0.023,0.036,0.048,0.061,0.085,0.093
Urchin,Spring,2,3.1,0.044,0.036,0.003,0.005,0.017,0.036,0.062,0.113,0.142
Urchin,Summer,2,3.1,0.088,0.03,0.035,0.042,0.068,0.086,0.106,0.141,0.153
Urchin,Winter,2,3.1,0.01,0.012,0.001,0.001,0.003,0.007,0.014,0.029,0.038
Clam,Fall,1.5,2.8,0.687,0.037,0.613,0.625,0.663,0.688,0.712,0.746,0.759
Clam,Spring,1.5,2.8,0.73,0.102,0.529,0.56,0.656,0.735,0.814,0.882,0.896
Clam,Summer,1.5,2.8,0.577,0.104,0.364,0.416,0.515,0.573,0.64,0.756,0.788
Clam,Winter,1.5,2.8,0.85,0.073,0.675,0.722,0.813,0.862,0.899,0.942,0.953
