SIN,N,C,Size,Species,Weight,Dissectwt,Sex,Site,Season,SiteNumber,Tissue,Tray,PercentN,PercentC,CN,PreyCat,Cnorm
403900,10.11,-15.12,470,apc,731.97,NA,,Soda Bay,Spring,9,,3,5.519662083,23.37205354,4.234326882,Cucumber,-14.24801639
403901,10.85,-15.18,460,apc,633.49,NA,,Soda Bay,Spring,9,,3,6.801701647,26.87886601,3.95178551,Cucumber,-14.58773235
403902,9.17,-16.08,240,apc,131.77,NA,,Soda Bay,Spring,9,,3,4.516209107,21.18590087,4.691080588,Cucumber,-14.75583022
403903,9.53,-13.49,80,apc,14.54,NA,,Soda Bay,Spring,8,,3,4.679432618,21.13326318,4.51620205,Cucumber,-12.33895997
403904,9.08,-13.68,80,apc,13.93,NA,,Soda Bay,Spring,8,,3,4.020744602,18.61599876,4.629987877,Cucumber,-12.416312
403905,9.16,-15.25,220,apc,260.48,NA,,Soda Bay,Summer,9,,3,6.649071903,29.29698039,4.406175901,Cucumber,-14.20788586
403906,10.13,-16.31,200,apc,227.94,NA,,Soda Bay,Summer,9,,3,7.225525002,30.59437199,4.234207477,Cucumber,-15.4381346
403907,11.13,-15.8,270,apc,381.36,NA,,Soda Bay,Summer,9,,3,7.162219936,30.14920308,4.209477418,Cucumber,-14.95261736
403908,10.3,-16.19,230,apc,291.61,NA,,Soda Bay,Summer,9,,3,7.570558601,32.64116047,4.311592076,Cucumber,-15.24152384
403909,10.42,-15.35,230,apc,285.99,NA,,Soda Bay,Summer,9,,3,7.253535899,31.62503606,4.359947548,Cucumber,-14.35365193
403955,12.46,-16.08,27,nul,2.88,0.68,,Craig,Spring,2,,3,11.0606255,43.45305302,3.928625287,Snail,-15.51066097
403956,11.98,-16.21,29,nul,4.02,0.94,,Craig,Spring,2,,3,11.4234919,43.920063,3.84471433,Snail,-15.72373281
403957,11.98,-16.17,30,nul,3.47,0.77,,Craig,Spring,2,,3,11.06034849,43.41742996,3.925502891,Snail,-15.60375214
403958,12.02,-16.2,25,nul,2.51,0.54,,Craig,Spring,2,,3,11.07683563,43.79598751,3.953835643,Snail,-15.60570271
403959,11.8,-16.22,27,nul,2.87,0.75,,Craig,Spring,2,,3,10.71997291,42.61925561,3.975686877,Snail,-15.60406999
403972,10.09,-13.91,24,tes,5.44,1,,Craig,Spring,5,,3,12.87260165,44.68975123,3.471695344,Tegula,-13.91
403974,9.79,-13.93,23,tes,6.65,0.36,,Craig,Spring,5,,3,12.18427084,43.41857473,3.563493892,Tegula,-13.72214105
403976,10.55,-13.65,21,tes,3.98,0.39,,Craig,Spring,5,,3,13.10933202,45.50733061,3.471369138,Tegula,-13.65
404005,8.57,-18.04,37,sag,11.3,4.79,,Soda Bay,Spring,8,,3,9.829162541,43.27814203,4.403034526,Clam,-17.00099582
404006,7.85,-16.81,25,cln,3.99,1.86,,Nossuk,Spring,1,,3,11.51668827,41.96023208,3.643428656,Clam,-16.52300563
404007,7.64,-17.6,27,cln,5.47,2.64,,Nossuk,Spring,1,,3,9.566183505,38.94879437,4.071508177,Clam,-16.8892069
404008,7.92,-17.68,30,cln,7.54,3.75,,Nossuk,Spring,1,,3,10.94146346,43.27186813,3.954851952,Clam,-17.08469657
404009,8.14,-16.85,36,cln,13.34,6.75,,Nossuk,Spring,1,,3,12.13059593,45.43531366,3.745513733,Clam,-16.4619414
404010,8.93,-17.46,32,prs,8.46,3.46,,Nossuk,Spring,1,,3,10.28697103,43.22578565,4.201993523,Clam,-16.62002641
404011,9.07,-17.77,31,prs,7.4,3.18,,Nossuk,Spring,1,,3,9.988265261,43.19356948,4.324431556,Clam,-16.80881276
404012,8.63,-17.93,31,prs,7.94,3.13,,Nossuk,Spring,1,,3,9.76040963,43.11827502,4.417670636,Clam,-16.87650607
404013,9.26,-17.24,32,prs,7.71,3.1,,Nossuk,Spring,1,,3,9.935279105,40.54838367,4.0812526,Clam,-16.51955993
404016,8.25,-18.25,26,sag,4.3,2.08,,Soda Bay,Spring,8,,3,9.052790523,44.29522793,4.892991594,Clam,-16.72593832
404033,9.18,-15.41,74,apc,8.26,NA,,Soda Bay,Winter,8,,3,4.275254644,19.03974488,4.453476217,Cucumber,-14.32105855
404048,11.54,-16.39,31,nul,4.65,0.83,,Craig,Summer,2,,3,11.93598943,44.32546628,3.713597982,Snail,-16.033538
404049,11.6,-15.66,33,nul,4.66,0.99,,Craig,Summer,2,,3,12.21733038,43.35223579,3.548421336,Snail,-15.46706288
404050,13.45,-16.05,32,nul,4.56,1.72,,Craig,Summer,2,,3,9.886078164,44.83953212,4.535623872,Snail,-14.87973237
404051,11.14,-17.05,30,nul,3.77,0.99,,Craig,Summer,2,,3,10.42053435,42.51288123,4.079721808,Snail,-16.33107541
404052,11.27,-17.52,29,nul,3.42,1.28,,Craig,Summer,2,,3,9.943656014,48.31783661,4.859162117,Snail,-16.0294295
403925,10.81,-16.56,85,sag,177.06,51.82,,Craig,Spring,2,,1,10.80772435,48.76700954,4.512236614,Clam,-15.41288575
403926,11.11,-16.4,81,sag,153.86,43.96,,Craig,Spring,2,,1,11.32226566,46.91124424,4.143273586,Clam,-15.61815915
403927,11.27,-16.35,62,sag,56.73,22.77,,Craig,Spring,2,,1,12.4483284,49.59774486,3.984289558,Clam,-15.72555334
403928,10.6,-16.53,60,sag,54.29,20.61,,Craig,Spring,2,,1,10.85100507,48.82452914,4.499539795,Clam,-15.3954556
403929,9.52,-16.22,23,sag,3.4,1.57,,Craig,Spring,2,,1,10.57790536,46.45358557,4.391567518,Clam,-15.19234816
403930,11.11,-16.41,64.5,sag,79.99,42.37,,Craig,Summer,2,,1,9.710537121,42.84968596,4.412699877,Clam,-15.36142712
403931,11.02,-17.06,55.5,sag,61.37,23.51,,Craig,Summer,2,,1,10.6024791,46.64829719,4.399753752,Clam,-16.02424379
403932,11.37,-16.12,67,sag,96,48.24,,Craig,Summer,2,,1,10.65442231,44.38745634,4.166106341,Clam,-15.31555472
403933,10.79,-16.87,51,sag,39.88,18.73,,Craig,Summer,2,,1,11.15786153,47.33777373,4.242548952,Clam,-15.98987654
403934,11.39,-15.97,73.5,sag,124.09,57.08,,Craig,Summer,2,,1,9.771929133,38.26444547,3.915751429,Clam,-15.41340609
403935,11.37,-16.23,42,prs,24.08,7.22,,Craig,Spring,2,,1,10.14134043,45.18541688,4.455566518,Clam,-15.13898915
403936,11.35,-16.34,45,prs,27.29,10.45,,Craig,Spring,2,,1,9.73555716,44.39616952,4.560208398,Clam,-15.14539369
403937,10.47,-17.02,52,prs,34.57,8.43,,Craig,Spring,2,,1,9.529710949,49.00947295,5.142807921,Clam,-15.24862016
403938,10.41,-16.95,39,prs,17.71,6.47,,Craig,Spring,2,,1,10.31720033,47.2591391,4.5806166,Clam,-15.73518957
403939,11.35,-16.18,47.5,prs,31.61,9.98,,Craig,Spring,2,,1,11.1580647,45.86919806,4.110856077,Clam,-15.43025248
403940,11.47,-16.68,53,prs,49.29,19.85,,Craig,Summer,2,,1,10.56045319,45.6677273,4.324409801,Clam,-15.7188343
403941,11.65,-16.44,58,prs,62.42,22.28,,Craig,Summer,2,,1,9.911408729,43.16081819,4.354660308,Clam,-15.4488863
403942,11.7,-16.67,55.5,prs,52.52,20.93,,Craig,Summer,2,,1,10.03447888,42.34907658,4.220356344,Clam,-15.81184722
403943,11.64,-16.65,60,prs,84.15,31.6,,Craig,Summer,2,,1,10.09887231,43.8532237,4.342388175,Clam,-15.67103571
403944,11.75,-16.6,54,prs,51.32,19.57,,Craig,Summer,2,,1,10.31845724,44.16368415,4.280066595,Clam,-15.68273407
403945,9.78,-16.28,50,cln,42.32,16.04,,Craig,Spring,2,,1,10.97330397,47.15044746,4.296832345,Clam,-15.34613598
403946,9.69,-16.34,42,cln,22.19,10.86,,Craig,Spring,2,,1,10.0902548,45.49055664,4.5083655,Clam,-15.19671816
403947,10.07,-16.31,52,cln,47.14,22.27,,Craig,Spring,2,,1,11.31805604,47.4833222,4.19536023,Clam,-15.47659337
403948,9.61,-16.3,54.5,cln,49.03,25.68,,Craig,Spring,2,,1,10.26098313,47.45524742,4.62482462,Clam,-15.04142363
403949,9.8,-16.03,30,cln,9.99,3.96,,Craig,Spring,2,,1,10.59080183,46.55312906,4.395618933,Clam,-14.99833726
403950,9.44,-16.42,44,cln,26.4,12.44,,Craig,Summer,2,,1,9.982323657,41.01039602,4.108301577,Clam,-15.67278144
403951,9.49,-16.63,59,cln,56.31,27.31,,Craig,Summer,2,,1,10.21474295,41.61354565,4.073871058,Clam,-15.91686765
