SIN,N,C,Size,Species,Weight,Dissectwt,Percent,Site,Season,SiteNumber,Tissue,Tray,PercentN,PercentC,CN,PreyCat,Cnorm,ID,MeanN,MeanC
404022,9.8,-19.39,62,evt,152.46,11.24,0.751839465,Soda Bay,Summer,9,stomach,4,8.263122558,46.27249971,5.599880601,Star,-17.16611821,18-630s,10.2193913,-16.80920734
404023,11.49,-15.99,62,evt,152.46,3.71,0.248160535,Soda Bay,Summer,9,feet,4,11.29601275,40.87225496,3.618290442,Star,-15.72789246,18-630f,10.2193913,-16.80920734
404024,8.51,-21.58,79,pio,331.67,81.94,0.864254825,Soda Bay,Summer,9,stomach,4,6.415411179,55.42868053,8.639926418,Star,-16.34647285,18-628,8.804838097,-16.34391204
404025,11.11,-16.51,79,pio,331.67,9.94,0.104841261,Soda Bay,Summer,9,feet,4,9.81569625,38.76164643,3.948945184,Star,-15.92054427,18-628,8.804838097,-16.34391204
404026,9.23,-19.19,79,pio,331.67,2.93,0.030903913,Soda Bay,Summer,9,gonads,4,9.947802747,48.24615736,4.849931044,Star,-17.70856827,18-628,8.804838097,-16.34391204
404027,8.03,-21.7,90,pio,487.93,69.81,0.663088906,Soda Bay,Summer,9,stomach,4,6.870739483,57.23420189,8.330137102,Star,-16.77316427,18-629,8.369417743,-17.06314377
404028,8.63,-19.98,90,pio,487.93,28.28,0.268617021,Soda Bay,Summer,9,gonads,4,9.046747504,48.09913593,5.31673244,Star,-18.03643488,18-629,8.369417743,-17.06314377
404029,10.64,-16.55,90,pio,487.93,7.19,0.068294073,Soda Bay,Summer,9,feet,4,10.32787101,39.84618888,3.858122246,Star,-16.05045898,18-629,8.369417743,-17.06314377
404030,8.42,-21.63,79,pio,348.27,92.1,0.862440303,Soda Bay,Summer,9,stomach,4,7.629383427,55.42595053,7.264800762,Star,-17.75784725,18-631,8.597668321,-17.7054123
404031,9.05,-19.64,79,pio,348.27,8.8,0.08240472,Soda Bay,Summer,9,gonads,4,10.34832558,47.59238566,4.599042165,Star,-18.40694826,18-631,8.597668321,-17.7054123
404032,10.7,-16.25,79,pio,348.27,5.89,0.055154977,Soda Bay,Summer,9,feet,4,10.18269169,38.39215132,3.77033426,Star,-15.83736908,18-631,8.597668321,-17.7054123
404060,9.82,-20.74,88,pio,273.23,37.67,0.575553858,Craig,Spring,5,stomach,5,6.448164214,56.78874005,8.806962441,Star,-15.34110718,18-651s,9.739355233,-16.10080651
404065,9.63,-18.88,88,pio,273.23,27.78,0.424446142,Craig,Spring,5,gonads,5,8.994982154,46.05642056,5.12023479,Star,-17.13096756,18-651g,9.739355233,-16.10080651
404071,9.27,-20.56,64,pio,172.6,17.61,0.502425107,Craig,Winter,5,stomach,5,5.749431828,60.47777746,10.51891374,Star,-13.4662754,19-072s,9.543560628,-14.75425731
404084,8.89,-17.84,64,pio,172.6,9.53,0.27189729,Craig,Winter,5,gonads,5,10.69842113,48.23670605,4.508768675,Star,-16.69631901,19-072g,8.597668321,-17.7054123
404089,10.94,-15.68,64,pio,172.6,7.91,0.225677603,Craig,Winter,5,feet,5,10.48673832,39.38477548,3.75567448,Star,-15.28188226,19-072f,8.597668321,-17.7054123
404092,12.47,-15.74,88,pio,273.23,6.88,,Craig,Spring,5,feet,7,10.84854538,40.41627827,3.725502072,Star,-15.37175295,18-651f,,
404207,9.06,-18.65,21,evt,11.99,1.09,,Craig,Winter,5,whole,7,7.782387754,47.02517079,6.042511923,Star,-15.9879132,19-073,9.06,-15.9879132
