Season,N,C
Summer,12.28,-13.56
Summer,12.08,-13.57
Summer,12.9,-13.37
Summer,12.77,-13.25
Summer,12.26,-13.32
Summer,13.27,-12.91
Summer,12.65,-12.81
Summer,13.76,-13.01
Summer,13.58,-13.38
Summer,12.41,-13.61
Summer,12.43,-13.18
Summer,12.44,-12.35
Summer,13.22,-12.65
Summer,12.8,-13.01
Summer,13.11,-13.16
Summer,12.74,-13.89
Summer,13.89,-13.57
Summer,13.47,-12.96
Summer,13.9,-12.77
Summer,12.41,-13.83
Summer,12.61,-13.13
Summer,13.38,-12.88
Summer,12.63,-12.92
Summer,14.2,-12.91
Summer,13.35,-12.37
Summer,12.44,-13.1
Summer,12.07,-13.06
Summer,13.26,-12.55
Summer,13.39,-12.87
Summer,12.75,-13.22
Summer,12.65,-13.28
Summer,12.56,-13.04
Summer,12.31,-13.22
Summer,12.5,-13.87
Summer,12.34,-14.85
Summer,12.55,-13.29
Summer,12.79,-13.65
Summer,12.46,-13.63
Summer,12.16,-13.59
Summer,12.31,-13.39
Summer,12.49,-14.38
Summer,12.36,-13.59
Summer,12.27,-13.34
Summer,12.69,-13.44
Summer,12.09,-13.61
Summer,12.96,-14
Summer,11.96,-14.09
Summer,12.28,-13.79
Summer,11.96,-13.82
Summer,12.37,-13.75
Summer,11.89,-14.18
Summer,12.48,-13.55
Summer,11.71,-14.15
Summer,12.07,-13.4
Summer,14.08,-12.03
Summer,12.72,-13.61
Summer,12.55,-13.89
Summer,11.73,-13.66
Summer,12.37,-13.38
Summer,12.19,-13.24
Summer,12.38,-13.89
Summer,12.26,-13.51
Summer,12.16,-13.63
Summer,12.37,-14
Summer,12.51,-13.68
Summer,13.64,-12.53
Summer,12.7,-12.35
Summer,12.16,-12.99
