OtterID,N,C
163532,12.57,-13.89
163532,12.52,-13.26
163532,12.11,-13.74
163532,12.29,-13.72
163532,12.01,-15.46
163532,8.87,-19.98
163532,12.04,-15.76
163532,13.49,-14.27
163532,13.19,-14.73
163532,11.2,-17.65
163532,11.9,-16.3
163533,12.28,-13.56
163533,12.08,-13.57
163533,11.91,-13.97
163533,11.95,-14.13
163533,12.16,-14.05
163533,12.06,-14.06
163533,12.07,-13.9
163533,12.7,-13.14
163534,12.9,-13.37
163534,12.77,-13.25
163534,12.63,-13.77
163534,12.67,-14.58
163534,12.34,-16.44
163534,12.62,-16.32
163534,13.48,-15.13
163534,13.43,-15.14
163534,12.68,-13.95
163535,12.26,-13.32
163535,13.2,-13.5
163535,13.55,-13.04
163535,13.43,-13.16
163535,13.42,-13.3
163520,13.27,-12.91
163520,12.65,-12.81
163520,12.81,-12.78
163520,12.59,-12.95
163520,13.14,-12.72
163520,13.39,-12.57
163520,13.54,-12.71
163520,13.57,-12.88
163520,13.59,-13.18
163520,13.58,-13.17
163520,13.76,-13.01
163520,13.58,-13.38
163525,12.41,-13.61
163525,12.43,-13.18
163525,12.32,-13.01
163525,12.22,-12.98
163525,12.28,-12.56
163525,12.56,-12.05
163525,12.25,-12.37
163525,12.06,-11.5
163525,12.05,-11.67
163525,12.14,-11.8
163525,12.44,-12.35
163521,13.22,-12.65
163521,12.8,-13.01
163521,12.33,-13.7
163521,10.95,-15.63
163521,11.85,-15.74
163521,13.46,-14.55
163521,11.46,-16.1
163521,11.42,-15
163521,12.48,-12.78
163521,13.3,-12.15
163521,13.11,-13.16
163521,12.74,-13.89
163522,13.89,-13.57
163522,13.47,-12.96
163522,12.74,-13.58
163522,13.74,-13.51
163522,13.43,-13.4
163522,14.01,-13.27
163522,13.96,-13.14
163522,13.62,-13.03
163522,13.54,-12.76
163522,13.39,-12.75
163522,13.9,-12.77
160480,12.41,-13.83
160480,12.61,-13.13
160480,13.03,-13.18
160480,12.88,-13.45
160480,12.5,-14.04
160480,12.27,-14.28
160480,12.94,-14.25
160480,12.54,-14.79
160480,12.33,-14.59
160478,12.36,-13.29
160478,12.43,-12.15
160478,12.05,-13.84
160523,13.38,-12.88
160523,12.63,-12.92
160523,13.46,-12.92
160523,13.61,-12.58
160523,13.81,-13.03
160523,14.05,-13.59
160523,14.16,-13.63
160523,13.99,-13.81
160523,13.87,-12.84
160523,13.75,-12.41
163524,14.2,-12.91
163524,13.35,-12.37
163524,13.79,-12.29
163524,14.26,-12.63
163524,14.42,-12.91
163524,14.33,-13.08
163524,14.33,-13.39
163524,14.54,-13.05
163524,14.58,-12.45
163526,12.44,-13.1
163526,12.07,-13.06
163526,12.36,-13.53
163526,12.86,-13.8
163526,13.09,-13.1
163526,12.92,-13.36
163526,12.85,-12.21
163526,12.45,-12.87
163526,12.87,-13.02
163526,12.61,-12.78
160479,12.47,-13.32
160479,12.19,-13.44
160479,12.4,-13.61
160479,12.76,-13.08
160479,13.26,-12.55
160479,13.39,-12.87
160479,13.35,-12.76
160479,13.57,-12.6
160479,13.45,-12.73
163527,12.75,-13.22
163527,12.65,-13.28
163527,12.83,-13.33
163527,13.34,-12.82
163527,13.66,-12.33
163527,13.12,-12.64
163527,13.4,-12.67
163527,12.73,-13.01
163527,12.67,-13.02
163528,12.56,-13.04
163528,12.31,-13.22
163528,12.42,-13.24
163528,12.52,-13.52
163528,12.94,-13.17
163528,13.05,-13.25
163528,13.29,-13.13
163528,13.23,-13.04
163528,13.35,-13.03
163528,13.54,-13.01
163529,12.5,-13.87
163529,12.34,-14.85
163529,12.37,-15.3
163529,12.17,-15.89
163529,12.08,-16.03
163529,11.93,-16.05
163529,12,-16.4
163529,12.29,-15.95
163535,12.55,-13.29
163535,12.23,-13.52
163535,12.18,-13.46
