Season,Site,Cmean,Csd,Nmean,Nsd,n
Spring,Shinaku,-13.18785714,0.814835317,13.22,0.897243642,14
Spring,Sukkwan Strait,-13.21209302,0.491429199,12.85674419,0.373374068,43
Spring,Tonowek,-13.69947368,0.657325265,12.4254386,0.438577531,57
Summer,Shinaku,-13.01333333,0.371438645,13.33,0.486297969,15
Summer,Sukkwan Strait,-13.44829787,0.751072622,12.91914894,0.434995401,47
Summer,Tonowek,-13.45773585,0.515478275,12.46283019,0.430979998,53
Fall,Shinaku,-13.01857143,0.696009031,13.51571429,0.791218284,14
Fall,Sukkwan Strait,-13.46590909,0.281554513,12.86636364,0.405868211,22
Fall,Tonowek,-13.27275862,0.726321646,12.96,0.567555546,58
Winter,Shinaku,-13.79727273,1.174436809,13.50363636,0.974004853,11
Winter,Sukkwan Strait,-13.2725,0.428152395,12.7685,0.499160084,20
Winter,Tonowek,-13.55671642,1.003565444,12.85835821,0.577622077,67
