OtterID,SIN,N,C,distance,Season,Site,Csig,Nsig
77280,414322,11.96,-14.09,0,Summer,Tonowek,n,n
77280,414323,11.9,-13.95,0.7,Spring,Tonowek,n,n
77280,414324,12.28,-13.69,1.5,Spring,Tonowek,n,n
77280,414325,12.45,-13.64,2.1,Winter,Tonowek,n,n
77280,414326,12.96,-13.39,2.8,Winter,Tonowek,n,n
77280,414327,13.27,-13.24,3.5,Winter,Tonowek,n,n
77280,414328,13.06,-13.34,4.2,Fall,Tonowek,n,n
77280,414329,12.65,-13.41,4.9,Fall,Tonowek,n,n
77280,414330,12.53,-13.58,5.6,Fall,Tonowek,n,n
77280,414331,12.28,-13.79,6.3,Summer,Tonowek,n,n
77280,414332,11.96,-13.82,7,Summer,Tonowek,n,n
77280,414333,12.37,-13.75,7.7,Summer,Tonowek,n,n
77280,414334,11.74,-14.09,8.4,Winter,Tonowek,n,n
77280,414335,12.15,-13.26,9.1,Winter,Tonowek,n,n
77281,414281,12.79,-13.65,0,Summer,Tonowek,n,y
77281,414282,12.4,-13.88,0.7,Spring,Tonowek,n,y
77281,414283,12.77,-13.74,1.5,Spring,Tonowek,n,y
77281,414284,13.49,-13.47,2.2,Winter,Tonowek,n,y
77281,414285,14.11,-13.21,2.8,Winter,Tonowek,n,y
77281,414286,14.04,-13.9,2.9,Winter,Tonowek,n,y
77281,414287,14.06,-13.54,3.6,Winter,Tonowek,n,y
77281,414288,13.95,-13.59,4.2,Fall,Tonowek,n,y
77281,414289,14.04,-13.7,5,Fall,Tonowek,n,y
77284,414299,12.31,-13.39,0,Summer,Tonowek,n,n
77284,414300,11.85,-13.5,0.7,Spring,Tonowek,n,n
77284,414301,12.31,-13.54,1.5,Spring,Tonowek,n,n
77284,414302,13.09,-13,2.1,Winter,Tonowek,n,n
77284,414303,13.23,-12.9,2.8,Winter,Tonowek,n,n
77284,414304,12.94,-13.27,3.4,Winter,Tonowek,n,n
77284,414305,12.99,-13.2,4.1,Fall,Tonowek,n,n
77284,414306,12.94,-13.43,4.8,Fall,Tonowek,n,n
77284,414307,12.34,-13.27,5.5,Fall,Tonowek,n,n
77284,414308,12.49,-14.38,6.2,Summer,Tonowek,n,n
77284,414309,12.36,-13.59,6.9,Summer,Tonowek,n,n
77284,414310,12.27,-13.34,7.5,Summer,Tonowek,n,n
160479,414231,12.47,-13.32,0,Winter,Tonowek,n,y
160479,414232,12.19,-13.44,0.7,Fall,Tonowek,n,y
160479,414233,12.4,-13.61,1.3,Fall,Tonowek,n,y
160479,414234,12.76,-13.08,2.1,Fall,Tonowek,n,y
160479,414235,13.26,-12.55,2.8,Summer,Tonowek,n,y
160479,414236,13.39,-12.87,3.5,Summer,Tonowek,n,y
160479,414237,13.35,-12.76,4.2,Winter,Tonowek,n,y
160479,414238,13.57,-12.6,4.9,Fall,Tonowek,n,y
160479,414239,13.45,-12.73,5.6,Fall,Tonowek,n,y
160480,414184,12.41,-13.83,0,Summer,Tonowek,n,n
160480,414185,12.61,-13.13,0.7,Summer,Tonowek,n,n
160480,414186,13.03,-13.18,1.4,Spring,Tonowek,n,n
160480,414187,12.88,-13.45,2.2,Spring,Tonowek,n,n
160480,414188,12.5,-14.04,2.8,Spring,Tonowek,n,n
160480,414189,12.27,-14.28,3.5,Winter,Tonowek,n,n
160480,414190,12.94,-14.25,4.2,Winter,Tonowek,n,n
160480,414191,12.54,-14.79,4.9,Fall,Tonowek,n,n
