Otter,urchin,clam,mussel,crab,star,snail,worm,chiton,barnacle,other,abalone
14,0,4.36538237,0,1.689954101,0.497634763,0,0,0,0,0,0
29,0,4.676347463,0,0,0,0,0,0,0,0.019622915,0
55,0,4.16391375,0.07393768,0,0,0,0,0.210438314,0,0,0
59,0,4.743730822,0,0,0,0,0,0,0,0,0
64,0.004787381,2.26314816,0.012329783,5.167951336,0,0.065575063,0,0,0,0.114520085,0
75,0.003724125,2.227387365,0.012636774,1.454349993,0.368970768,0.063546881,0,0,0,0,0
90,0.016410928,1.22987077,0.043920861,10.16669942,0.352775638,0.256042502,0,0,0,9.91125E-05,0
91,0.013958777,1.132678658,0.039047889,10.47255768,0,0.183256484,0,0,0,2.6071E-05,0
94,0.011389909,2.135602276,0.034436286,3.90755246,1.1540909,0.202471397,0,0,0,0.135660308,0
113,0,5.712533526,0,0,0,0,0,0,0,0,0
115,0.170547232,2.843141278,0,0,0,0,0,0,0,0.130159229,0
116,0.001451639,3.47198775,0.002452229,0.009335951,0,0.019818064,0.009782173,0,0,0.202696576,0
121,0.180364799,3.514388874,0.000400845,0.820240312,0,0.218475302,0,0,0,0,0
125,0.001514758,4.350007021,0.017122752,0.034347596,0,0.215986397,0.019334482,0,0,0,0
126,0.005293745,3.77470708,0.015853289,1.348549087,2.3723E-06,0.094043981,0,0,0,0,0
131,0,4.283875128,0,0.594751523,0,0,0,0,0,0,0
132,0.010595554,3.561947045,0.029870077,0.218380881,0.008026347,0.176362553,8.60775E-05,0.000725816,5.43571E-06,0.00023118,0.000116587
144,0,7.442550223,0,0,0,0,0,0,0,0,0
149,0.006962897,5.091069701,0.017555077,0.099258674,0,0.09822214,0,0,5.89978E-07,0,0
156,0.004582622,4.18876798,0.013219051,0.405402802,0.268926902,0.082027637,0,0,0,0.085827335,0
172,0,4.539806317,0,1.576098103,0,0,0,0,0,0,0
173,0.003200152,4.976320756,0.011891762,0.37551989,0,0.064554953,0,0,0,5.28754E-06,0
176,0.001169365,7.22433322,0.003377299,0.010859195,0,0.028378933,0,0,0,0,0
192,0.001400513,3.492867077,0.019679704,0.959974491,0,0.168382798,0,0,0,1.14756E-05,0
194,0.000676031,3.053988649,0.006870531,1.630813213,0,0.053092168,0,0,0,0,0
197,0.001142467,3.707208664,0.002446346,0.271537539,0,0.018295115,0,0,0,0,0
212,0,3.492990452,0,0,0,0,0,0,0,0,0
225,0,5.875074431,0,0,0,0,0,0,0,0,0
240,0,3.532224116,0,0.041494116,0,0,0.03088598,0,0,0.080931066,0
258,0.61716333,1.530905922,0,13.14845004,0,0,0,0,0,0.148165857,0
266,0.012538884,3.614758223,0.03244621,1.557539867,0,0.199624223,0,0,0,0,0
273,0.010519034,4.656650507,0.029022759,0.222298066,0.012673887,0.203223844,0.000235834,0.001024454,7.65811E-05,0.000544026,0.000304873
281,0.001793319,4.552920515,0.005651396,0.845721645,0,0.028628303,0,0,0,0.033907625,0
285,0.011475685,1.590052545,0.039910205,2.995419245,0.611712463,0.218933045,0,0,0,0.290128635,0
295,0.003382771,2.716085281,0.026150459,0.205395886,0,0.285358544,0.023733675,0,0,0.003374433,0
303,0,2.738141669,0,2.410604263,0,0,0,0,0,0.295521702,0
305,0.451813665,2.746487209,0.063561822,2.144487969,0,0.391773664,0,0.255112609,9.82334E-07,3.75729E-06,0.33960724
329,0.151174137,0.004780794,0.000449695,7.866243639,0.074607915,0,0,0,0,0.242203958,0
331,1.22970127,0.529604899,0,2.541209053,0,0,0,0,0,0,0
335,0.002170309,6.852418988,0.004169198,0.912788171,9.31566E-05,0.029300911,0.00014521,0,0,0,0
