BoutID,Study,Date,BoutStart,BoutEnd,DiveNo,DT,ST,Suc,HT,PreyItem,PreyQty,PreySz,PropNotEat,Why....Notes...Tool.Use,Region,YEAR,ObsLatDeg,ObsLongDeg,OtterLatDeg,OtterLongDeg,age,sex,pup,where,obscond,Rain,Sky,observer,recorder,EnteredBy,checked.by,PreyCat,Occupation,julian,Season
2018-001,POW,5/6/18,11:24,11:51,1,76,33,N,NA,NA,NA,NA,NA,NA,SHINAKU INLET,2003,55.58155,-133.1829,55.5806667,-133.18467,A,U,NA,OW,VG,NONE,0,NLL,CLD/YBB,NLL,SLK,NA,15 years,126,Spring
2018-001,POW,5/6/18,11:24,11:51,2,135,26,Y,24,SAG,1,2A,NA,NA,SHINAKU INLET,2003,55.58155,-133.1829,55.5806667,-133.18467,A,U,NA,OW,VG,NONE,0,NLL,CLD/YBB,NLL,SLK,Clam,15 years,126,Spring
2018-001,POW,5/6/18,11:24,11:51,3,55,12,Y,12,CLA,1,1C,NA,NA,SHINAKU INLET,2003,55.58155,-133.1829,55.5806667,-133.18467,A,U,NA,OW,VG,NONE,0,NLL,CLD/YBB,NLL,SLK,Clam,15 years,126,Spring
2018-001,POW,5/6/18,11:24,11:51,4,52,21,Y,21,CLA,2,1C,NA,NA,SHINAKU INLET,2003,55.58155,-133.1829,55.5806667,-133.18467,A,U,NA,OW,VG,NONE,0,NLL,CLD/YBB,NLL,SLK,Clam,15 years,126,Spring
2018-001,POW,5/6/18,11:24,11:51,5,40,17,Y,17,SAG,1,1C,NA,NA,SHINAKU INLET,2003,55.58155,-133.1829,55.5806667,-133.18467,A,U,NA,OW,VG,NONE,0,NLL,CLD/YBB,NLL,SLK,Clam,15 years,126,Spring
2018-001,POW,5/6/18,11:24,11:51,6,81,22,N,NA,NA,NA,NA,NA,NA,SHINAKU INLET,2003,55.58155,-133.1829,55.5806667,-133.18467,A,U,NA,OW,VG,NONE,0,NLL,CLD/YBB,NLL,SLK,NA,15 years,126,Spring
2018-001,POW,5/6/18,11:24,11:51,7,58,60,Y,60,STA,1,2C,0.3,DISCARDED,SHINAKU INLET,2003,55.58155,-133.1829,55.5806667,-133.18467,A,U,NA,OW,VG,NONE,0,NLL,CLD/YBB,NLL,SLK,NA,15 years,126,Spring
2018-001,POW,5/6/18,11:24,11:51,8,46,9,Y,9,SAG,1,1C,NA,NA,SHINAKU INLET,2003,55.58155,-133.1829,55.5806667,-133.18467,A,U,NA,OW,VG,NONE,0,NLL,CLD/YBB,NLL,SLK,Clam,15 years,126,Spring
2018-001,POW,5/6/18,11:24,11:51,9,42,13,N,NA,NA,NA,NA,NA,NA,SHINAKU INLET,2003,55.58155,-133.1829,55.5806667,-133.18467,A,U,NA,OW,VG,NONE,0,NLL,CLD/YBB,NLL,SLK,NA,15 years,126,Spring
2018-001,POW,5/6/18,11:24,11:51,10,12,30,Y,12,SAG,1,2A,NA,POSSIBLY CARRYOVER,SHINAKU INLET,2003,55.58155,-133.1829,55.5806667,-133.18467,A,U,NA,OW,VG,NONE,0,NLL,CLD/YBB,NLL,SLK,Clam,15 years,126,Spring
2018-001,POW,5/6/18,11:24,11:51,11,42,20,N,NA,NA,NA,NA,NA,NA,SHINAKU INLET,2003,55.58155,-133.1829,55.5806667,-133.18467,A,U,NA,OW,VG,NONE,0,NLL,CLD/YBB,NLL,SLK,NA,15 years,126,Spring
2018-001,POW,5/6/18,11:24,11:51,12,47,7,N,NA,NA,NA,NA,NA,NA,SHINAKU INLET,2003,55.58155,-133.1829,55.5806667,-133.18467,A,U,NA,OW,VG,NONE,0,NLL,CLD/YBB,NLL,SLK,NA,15 years,126,Spring
2018-001,POW,5/6/18,11:24,11:51,13,66,44,Y,8,SAG,1,1C,NA,NA,SHINAKU INLET,2003,55.58155,-133.1829,55.5806667,-133.18467,A,U,NA,OW,VG,NONE,0,NLL,CLD/YBB,NLL,SLK,Clam,15 years,126,Spring
