Zone,Year,Status,Season,Age,Prey Cat,Kcal_min,Proportion,g_min,Long-Term,sd L-T,CL95L L-T,CL95H L-T,sd bouts,CL95L bouts,CL95H bouts,Nbouts,Ndives,MnDvTm,sdDvTm,MnSfTm,sdSfTm,Succrate,Diversity
ZONE 1,,,,,,,,,7.509207833,0.664929123,6.205946751,8.812468914,3.25689934,3.510948854,13.63089298,26,290,91.14851485,40.10411664,49.9164557,32.96745985,0.924187726,0.796386285
ZONE 2,,,,,,,,,6.636362798,0.487524256,5.680815255,7.59191034,3.326325561,2.741491549,12.91758449,47,482,104.9622047,53.88791225,61.74634146,48.66311148,0.928118393,0.863883539
ZONE 3,,,,,,,,,5.462943509,0.318961151,4.837779654,6.088107364,2.638756744,2.327254668,10.44335518,64,724,72.05322763,37.56787506,43.74509804,31.89037709,0.882183908,1.159473947
ZONE 4,,,,,,,,,5.451145816,0.532221599,4.407991483,6.49430015,3.450102226,1.799226569,11.94193152,49,465,104.605042,46.18007837,58.37237762,39.67692831,0.902004454,1.033650699
ZONE 5,,,,,,,,,9.181059647,0.833382166,7.547630602,10.81448869,5.938229711,2.950175335,20.35086428,53,495,77.85268631,33.50177437,53.75044248,43.13112558,0.882863341,0.44735355
ZONE 6,,,,,,,,,6.682530215,0.619984689,5.467360225,7.897700205,4.071561399,2.289736356,14.35966265,46,514,76.41719745,39.47095705,56.4368932,43.45108539,0.872255489,1.448903052
ZONE 7,,,,,,,,,11.5479899,0.817419253,9.945848161,13.15013163,6.657510553,4.177061304,24.12433111,58,354,101.9017467,41.61269212,85.16515837,50.62912464,0.90881459,0.389506347
ZONE 1,,,,,Clam,6.188978599,0.779174201,8.439064436,,,,,,,,,,,,,,,
ZONE 1,,,,,Crab,0.138454972,0.014628411,0.158671989,,,,,,,,,,,,,,,
ZONE 1,,,,,Cucumber,0.353287769,0.142153402,1.559747334,,,,,,,,,,,,,,,
ZONE 1,,,,,Mussel,0.000749459,8.87E-05,0.000956172,,,,,,,,,,,,,,,
ZONE 1,,,,,Snail,0.449934344,0.036404623,0.39252146,,,,,,,,,,,,,,,
ZONE 1,,,,,Star,0.04148399,0.002439606,0.026469584,,,,,,,,,,,,,,,
ZONE 1,,,,,Urchin,0.019194061,0.002894434,0.031143717,,,,,,,,,,,,,,,
ZONE 1,,,,,"Bivalve, other",0.086160165,0.009562535,0.104264866,,,,,,,,,,,,,,,
ZONE 1,,,,,Ablaone,0.080483169,0.006660356,0.072325717,,,,,,,,,,,,,,,
ZONE 1,,,,,Chiton,0.033269006,0.005700076,0.061427544,,,,,,,,,,,,,,,
ZONE 1,,,,,Worm,0.001975256,0.000248575,0.002665719,,,,,,,,,,,,,,,
ZONE 1,,,,,Shrimp,0.000521136,4.51E-05,0.000475232,,,,,,,,,,,,,,,
ZONE 1,,,,,Other,0,0,0,,,,,,,,,,,,,,,
ZONE 2,,,,,Clam,5.292165081,0.775560529,7.157134048,,,,,,,,,,,,,,,
ZONE 2,,,,,Crab,0.463798072,0.056520569,0.520203773,,,,,,,,,,,,,,,
ZONE 2,,,,,Cucumber,0.229050496,0.108659402,1.008562018,,,,,,,,,,,,,,,
ZONE 2,,,,,Mussel,0.018408011,0.002531408,0.023300207,,,,,,,,,,,,,,,
ZONE 2,,,,,Snail,0.263896641,0.025165068,0.231955111,,,,,,,,,,,,,,,
ZONE 2,,,,,Star,0.105955024,0.007685281,0.070644754,,,,,,,,,,,,,,,
ZONE 2,,,,,Urchin,0.048871247,0.001837828,0.016981475,,,,,,,,,,,,,,,
ZONE 2,,,,,"Bivalve, other",0.085746025,0.012674236,0.117341254,,,,,,,,,,,,,,,
ZONE 2,,,,,Ablaone,0.046125995,0.004375047,0.040348322,,,,,,,,,,,,,,,
ZONE 2,,,,,Chiton,0.035278524,0.004828995,0.044497013,,,,,,,,,,,,,,,
ZONE 2,,,,,Worm,0.000669175,9.68E-05,0.0008913,,,,,,,,,,,,,,,
ZONE 2,,,,,Shrimp,0.000701623,6.48E-05,0.000592597,,,,,,,,,,,,,,,
ZONE 2,,,,,Other,0,0,0,,,,,,,,,,,,,,,
ZONE 3,,,,,Clam,3.806756543,0.684223655,5.163850144,,,,,,,,,,,,,,,
ZONE 3,,,,,Crab,0.540547736,0.082450566,0.620910439,,,,,,,,,,,,,,,
ZONE 3,,,,,Cucumber,0.203786953,0.117556204,0.895660749,,,,,,,,,,,,,,,
ZONE 3,,,,,Mussel,0.054201592,0.010214902,0.077024472,,,,,,,,,,,,,,,
ZONE 3,,,,,Snail,0.401204479,0.046363826,0.349648605,,,,,,,,,,,,,,,
ZONE 3,,,,,Star,0.173909137,0.014564401,0.109790621,,,,,,,,,,,,,,,
ZONE 3,,,,,Urchin,0.129969405,0.021166257,0.159699462,,,,,,,,,,,,,,,
ZONE 3,,,,,"Bivalve, other",0,0,0,,,,,,,,,,,,,,,
ZONE 3,,,,,Ablaone,0,0,0,,,,,,,,,,,,,,,
ZONE 3,,,,,Chiton,0.030240554,0.004372299,0.033178721,,,,,,,,,,,,,,,
ZONE 3,,,,,Worm,0.001108556,0.000199635,0.00150204,,,,,,,,,,,,,,,
ZONE 3,,,,,Shrimp,0.035851432,0.003857014,0.028983562,,,,,,,,,,,,,,,
ZONE 3,,,,,Other,0.03914483,0.01503124,0.113764884,,,,,,,,,,,,,,,
ZONE 4,,,,,Clam,3.650968872,0.753483857,5.127388598,,,,,,,,,,,,,,,
ZONE 4,,,,,Crab,0.363944367,0.059967051,0.408339319,,,,,,,,,,,,,,,
ZONE 4,,,,,Cucumber,0.072677402,0.046724009,0.321100441,,,,,,,,,,,,,,,
ZONE 4,,,,,Mussel,0.225466117,0.041990201,0.285911123,,,,,,,,,,,,,,,
ZONE 4,,,,,Snail,0.121683662,0.015602484,0.106985764,,,,,,,,,,,,,,,
ZONE 4,,,,,Star,0.051932629,0.004776817,0.032428598,,,,,,,,,,,,,,,
ZONE 4,,,,,Urchin,0.761434916,0.045066389,0.307770671,,,,,,,,,,,,,,,
ZONE 4,,,,,"Bivalve, other",0.083617834,0.017075386,0.118487266,,,,,,,,,,,,,,,
ZONE 4,,,,,Ablaone,0,0,0,,,,,,,,,,,,,,,
ZONE 4,,,,,Chiton,0.066690819,0.011735824,0.080054953,,,,,,,,,,,,,,,
ZONE 4,,,,,Worm,0.00308739,0.000855791,0.005797303,,,,,,,,,,,,,,,
ZONE 4,,,,,Shrimp,0.005187372,0.000616797,0.004212067,,,,,,,,,,,,,,,
ZONE 4,,,,,Other,0.015401828,0.002105394,0.014447299,,,,,,,,,,,,,,,
ZONE 5,,,,,Clam,8.385721121,0.897456935,11.19878689,,,,,,,,,,,,,,,
ZONE 5,,,,,Crab,0.374403397,0.034339392,0.425661798,,,,,,,,,,,,,,,
ZONE 5,,,,,Cucumber,0.14817381,0.052468408,0.655029181,,,,,,,,,,,,,,,
ZONE 5,,,,,Mussel,0.004651735,0.000474893,0.005873781,,,,,,,,,,,,,,,
ZONE 5,,,,,Snail,0.037254254,0.002628049,0.032695867,,,,,,,,,,,,,,,
ZONE 5,,,,,Star,0.221819895,0.011407687,0.141310415,,,,,,,,,,,,,,,
ZONE 5,,,,,Urchin,0.002057765,0.000233337,0.002861859,,,,,,,,,,,,,,,
ZONE 5,,,,,"Bivalve, other",0.002281709,0.000227661,0.002814879,,,,,,,,,,,,,,,
ZONE 5,,,,,Ablaone,0,0,0,,,,,,,,,,,,,,,
ZONE 5,,,,,Chiton,0,0,0,,,,,,,,,,,,,,,
ZONE 5,,,,,Worm,0.004750744,0.000704464,0.00872223,,,,,,,,,,,,,,,
ZONE 5,,,,,Shrimp,0.000914277,5.92E-05,0.00074363,,,,,,,,,,,,,,,
ZONE 5,,,,,Other,0,0,0,,,,,,,,,,,,,,,
ZONE 6,,,,,Clam,2.929617,0.525833022,4.114060378,,,,,,,,,,,,,,,
ZONE 6,,,,,Crab,0.676022509,0.096546305,0.756335215,,,,,,,,,,,,,,,
ZONE 6,,,,,Cucumber,0.292376092,0.162985996,1.283930122,,,,,,,,,,,,,,,
ZONE 6,,,,,Mussel,0,0,0,,,,,,,,,,,,,,,
ZONE 6,,,,,Snail,0.911089319,0.101246309,0.794341366,,,,,,,,,,,,,,,
ZONE 6,,,,,Star,0.166619351,0.013502125,0.105292982,,,,,,,,,,,,,,,
ZONE 6,,,,,Urchin,1.398841901,0.079040631,0.617070113,,,,,,,,,,,,,,,
ZONE 6,,,,,"Bivalve, other",0.03918523,0.006413391,0.05051275,,,,,,,,,,,,,,,
ZONE 6,,,,,Ablaone,0,0,0,,,,,,,,,,,,,,,
ZONE 6,,,,,Chiton,0,0,0,,,,,,,,,,,,,,,
ZONE 6,,,,,Worm,0.007594782,0.001785645,0.013926775,,,,,,,,,,,,,,,
ZONE 6,,,,,Shrimp,0.122915274,0.012646575,0.098550637,,,,,,,,,,,,,,,
ZONE 6,,,,,Other,0,0,0,,,,,,,,,,,,,,,
ZONE 7,,,,,Clam,10.78503868,0.900366861,14.03169508,,,,,,,,,,,,,,,
ZONE 7,,,,,Crab,0.014115074,0.001058079,0.016419568,,,,,,,,,,,,,,,
ZONE 7,,,,,Cucumber,0.309396684,0.084969258,1.328089525,,,,,,,,,,,,,,,
ZONE 7,,,,,Mussel,0.030106193,0.003863745,0.060291196,,,,,,,,,,,,,,,
ZONE 7,,,,,Snail,7.64E-06,3.90E-07,6.18E-06,,,,,,,,,,,,,,,
ZONE 7,,,,,Star,0.005695739,0.000259487,0.00404909,,,,,,,,,,,,,,,
