prop,species,age
0.694884651,clam,Juvenile
0.693693903,clam,Adult
0.13657451,crab,Juvenile
0.11814433,crab,Adult
0.103136249,snail,Adult
0.087786652,urchin,Juvenile
0.033149683,other,Juvenile
0.032034297,other,Adult
0.03045529,chiton,Juvenile
0.029294173,urchin,Adult
0.010907747,mussel,Adult
0.007936706,star,Adult
0.006649567,mussel,Juvenile
0.004415704,worm,Juvenile
0.003634983,chiton,Adult
0.00357488,snail,Juvenile
0.002509064,star,Juvenile
0.000638606,worm,Adult
0.000541807,abalone,Adult
3.72E-05,barnacle,Adult
0,barnacle,Juvenile
0,abalone,Juvenile
