Otter,urchin,clam,mussel,crab,star,snail,worm,chiton,barnacle,other,abalone
14,0,0.804953755,0,0.160400468,0.034645777,0,0,0,0,0,0
29,0,0.981670046,0,0,0,0,0,0,0,0.018329954,0
55,0,0.92971989,0.026195141,0,0,0,0,0.044084969,0,0,0
59,0,1,0,0,0,0,0,0,0,0,0
64,0.0017629,0.428414206,0.003604585,0.461833802,0,0.005877559,0,0,0,0.098506947,0
75,0.002776788,0.70008497,0.00652824,0.238013438,0.043881502,0.008715062,0,0,0,0,0
90,0.005719984,0.199745172,0.010841758,0.744239325,0.020940655,0.018493282,0,0,0,1.98236E-05,0
91,0.004831622,0.195521738,0.010187374,0.775369884,0,0.014068534,0,0,0,2.08487E-05,0
94,0.004831862,0.407635868,0.010345395,0.368602953,0.080017395,0.017231481,0,0,0,0.111335046,0
113,0,1,0,0,0,0,0,0,0,0,0
115,0.091921782,0.763113587,0,0,0,0,0,0,0,0.144964631,0
116,0.000583793,0.790023165,0.000966565,0.001479097,0,0.001810516,0.001578208,0,0,0.203558656,0
121,0.086299467,0.794079117,0.000112621,0.096477831,0,0.023030964,0,0,0,0,0
125,0.000753227,0.965112829,0.005898538,0.005046274,0,0.02028305,0.002906083,0,0,0,0
126,0.002511595,0.809169025,0.00532443,0.173681108,6.45424E-07,0.009313197,0,0,0,0,0
131,0,0.923257314,0,0.076742686,0,0,0,0,0,0,0
132,0.00539318,0.929686983,0.011340949,0.032737023,0.000791977,0.019607481,1.97486E-05,0.000167655,1.09448E-06,0.000225543,2.83655E-05
144,0,1,0,0,0,0,0,0,0,0,0
149,0.003110776,0.972170578,0.005194505,0.011598556,0,0.00792547,0,0,1.14411E-07,0,0
156,0.002262117,0.840042835,0.004030481,0.049529932,0.019959553,0.007352907,0,0,0,0.076822176,0
172,0,0.824771051,0,0.175228949,0,0,0,0,0,0,0
173,0.001399716,0.946590927,0.003448875,0.043462328,0,0.005093078,0,0,0,5.07655E-06,0
176,0.000384737,0.996370363,0.000732289,0.000862444,0,0.001650168,0,0,0,0,0
192,0.000836118,0.839319709,0.007231106,0.135985185,0,0.016616573,0,0,0,1.13093E-05,0
194,0.000378173,0.751360196,0.002477618,0.240412355,0,0.005371658,0,0,0,0,0
197,0.00057719,0.953748297,0.00094496,0.042610166,0,0.002119387,0,0,0,0,0
212,0,1,0,0,0,0,0,0,0,0,0
225,0,1,0,0,0,0,0,0,0,0,0
240,0,0.898381742,0,0.006820454,0,0,0.005536743,0,0,0.089261061,0
258,0.073687353,0.139065648,0,0.727004967,0,0,0,0,0,0.060242032,0
266,0.005371961,0.758016464,0.010514376,0.207787947,0,0.018309252,0,0,0,0,0
273,0.004569262,0.939134016,0.009063398,0.02721814,0.001006085,0.018363429,4.09608E-05,0.000203377,1.33706E-05,0.000346776,4.1186E-05
281,0.000795309,0.893537767,0.001545902,0.073176007,0,0.002574508,0,0,0,0.028370507,0
285,0.004971153,0.326066011,0.012187809,0.330581685,0.045892498,0.019748051,0,0,0,0.260552793,0
295,0.001910534,0.903440253,0.013175763,0.030980208,0,0.039983022,0.005409685,0,0,0.005100536,0
303,0,0.512619504,0,0.225388964,0,0,0,0,0,0.261991532,0
305,0.099477845,0.499244113,0.017309645,0.246569965,0,0.030793248,0,0.043710607,9.19963E-08,7.33249E-06,0.062887152
329,0.05114407,0.000810379,6.8733E-05,0.771924632,0.004371647,0,0,0,0,0.17168054,0
331,0.605076784,0.093295029,0,0.301628186,0,0,0,0,0,0,0
335,0.00040068,0.922210555,0.000966676,0.074716679,8.051E-06,0.001690208,7.15111E-06,0,0,0,0
