Otter,Sex,Ageclass,Region,Area,Site,Date_strt,Date_last,N_bouts,N_dives,success_rt
1,U,A,POW,OHTHREE,SHINAKU INLET,6-May-18,6-May-18,1,21,0.625
2,U,A,POW,OHTHREE,SHINAKU INLET,6-May-18,6-May-18,1,22,0.8
3,U,U,POW,OHTHREE,SHINAKU INLET,6-May-18,6-May-18,1,10,0.7
4,M,U,POW,OHTHREE,SHINAKU INLET,6-May-18,6-May-18,1,9,0.857142857
6,U,U,POW,OHTHREE,SAN CHRISTOVAL,8-May-18,8-May-18,1,15,1
8,M,A,POW,OHTHREE,SAN CHRISTOVAL,8-May-18,8-May-18,1,21,0.125
10,F,A,POW,EIGHTYEIGHT,MAURELLES,18-May-18,18-May-18,1,8,1
11,F,A,POW,EIGHTYEIGHT,MAURELLES,18-May-18,18-May-18,1,11,0.909090909
12,F,A,POW,EIGHTYEIGHT,MAURELLES,18-May-18,18-May-18,1,7,0.428571429
13,F,A,POW,EIGHTYEIGHT,MAURELLES,18-May-18,18-May-18,1,15,1
14,F,A,POW,OHTHREE,EL CAP IS,19-May-18,19-May-18,1,26,0.95
16,U,U,POW,OHTHREE,EL CAP IS,19-May-18,19-May-18,1,6,0.8
19,U,U,POW,OHTHREE,EL CAP IS,19-May-18,19-May-18,1,23,1
21,F,A,POW,OHTHREE,EL CAP IS,19-May-18,19-May-18,1,20,0.894736842
23,U,U,POW,OHTHREE,SAN CHRISTOVAL,23-May-18,23-May-18,1,22,0.9
25,U,U,POW,OHTHREE,SAN CHRISTOVAL,23-May-18,23-May-18,1,7,0.428571429
26,U,U,POW,OHTHREE,SAN CHRISTOVAL,23-May-18,23-May-18,1,9,1
27,M,J,POW,OHTHREE,SAN CHRISTOVAL,23-May-18,23-May-18,1,23,0.875
28,U,U,POW,OHTHREE,SAN CHRISTOVAL,23-May-18,23-May-18,1,13,1
29,F,A,POW,OHTHREE,PORT REAL MARINA,24-May-18,24-May-18,1,25,0.85
31,M,A,POW,OHTHREE,PORT REAL MARINA,24-May-18,24-May-18,1,16,0.888888889
32,U,A,POW,OHTHREE,PORT REAL MARINA,24-May-18,24-May-18,1,8,0.857142857
34,F,A,POW,OHTHREE,PORT REAL MARINA,24-May-18,24-May-18,1,9,1
36,M,A,POW,OHTHREE,GARCIA,27-May-18,27-May-18,1,24,0.8
37,M,A,POW,OHTHREE,GARCIA,27-May-18,27-May-18,1,19,0.842105263
39,F,A,POW,OHTHREE,GARCIA,27-May-18,27-May-18,1,19,1
41,M,A,POW,TEN,SODA BAY,28-May-18,28-May-18,1,9,0.222222222
42,U,U,POW,TEN,SODA BAY,28-May-18,28-May-18,1,5,1
44,F,A,POW,TEN,SODA BAY,28-May-18,28-May-18,1,6,0.666666667
45,U,U,POW,TEN,SODA BAY,28-May-18,28-May-18,1,6,1
46,U,U,POW,TEN,SODA BAY,28-May-18,28-May-18,1,12,0.888888889
49,M,A,POW,TEN,SODA BAY,28-May-18,28-May-18,1,11,1
50,U,A,POW,TEN,SODA BAY,28-May-18,28-May-18,1,5,1
51,U,U,POW,TEN,SODA BAY,28-May-18,28-May-18,1,5,1
52,U,A,POW,EIGHTYEIGHT,MAURELLES,30-May-18,30-May-18,1,12,0.6
53,M,A,POW,EIGHTYEIGHT,MAURELLES,30-May-18,30-May-18,1,10,0.5
54,F,A,POW,EIGHTYEIGHT,MAURELLES,30-May-18,30-May-18,1,7,0.857142857
55,F,A,POW,OHTHREE,EL CAP IS,31-May-18,31-May-18,1,33,0.928571429
56,F,A,POW,OHTHREE,EL CAP IS,31-May-18,31-May-18,1,16,1
58,U,U,POW,OHTHREE,SEA OTTER SOUND,31-May-18,31-May-18,1,13,0.75
59,U,U,POW,OHTHREE,EL CAP IS,1-Jun-18,1-Jun-18,1,34,1
60,F,U,POW,OHTHREE,EL CAP IS,1-Jun-18,1-Jun-18,1,9,0.875
63,F,A,POW,OHTHREE,STANEY CREEK,3-Jun-18,3-Jun-18,1,9,0.833333333
64,F,A,POW,OHTHREE,STANEY CREEK,3-Jun-18,3-Jun-18,1,30,1
65,F,A,POW,OHTHREE,STANEY CREEK,3-Jun-18,3-Jun-18,1,7,1
66,F,A,POW,OHTHREE,STANEY CREEK,3-Jun-18,3-Jun-18,1,22,0.75
67,U,U,POW,OHTHREE,STANEY CREEK,3-Jun-18,3-Jun-18,1,22,0.85
68,U,U,POW,OHTHREE,STANEY CREEK,3-Jun-18,3-Jun-18,1,6,1
69,F,A,POW,OHTHREE,STANEY CREEK,6-Jun-18,6-Jun-18,1,14,1
74,F,A,POW,OHTHREE,STANEY CREEK,6-Jun-18,6-Jun-18,1,15,0.714285714
75,M,A,POW,OHTHREE,SHINAKU INLET,7-Jun-18,7-Jun-18,1,25,0.85
76,F,A,POW,OHTHREE,SHINAKU INLET,7-Jun-18,7-Jun-18,1,14,1
77,M,A,POW,OHTHREE,SHINAKU INLET,7-Jun-18,7-Jun-18,1,24,0.95
78,U,U,POW,OHTHREE,SAN CHRISTOVAL,7-Jun-18,7-Jun-18,1,5,1
80,U,U,POW,EIGHTYEIGHT,MAURELLES,30-May-18,30-May-18,1,5,0.666666667
81,U,U,POW,EIGHTYEIGHT,MAURELLES,30-May-18,30-May-18,1,8,1
82,U,A,POW,OHTHREE,EL CAP IS,31-May-18,31-May-18,1,24,1
83,F,A,POW,OHTHREE,EL CAP IS,31-May-18,31-May-18,1,9,0.8
84,U,A,POW,OHTHREE,SEA OTTER SOUND,31-May-18,31-May-18,1,17,1
85,U,A,POW,OHTHREE,EL CAP IS,1-Jun-18,1-Jun-18,1,5,1
86,U,A,POW,OHTHREE,EL CAP IS,1-Jun-18,1-Jun-18,1,8,1
87,U,A,POW,OHTHREE,EL CAP IS,1-Jun-18,1-Jun-18,1,11,1
88,U,U,POW,OHTHREE,EL CAP IS,1-Jun-18,1-Jun-18,1,9,1
89,F,A,POW,OHTHREE,STANEY CREEK,3-Jun-18,3-Jun-18,1,6,1
90,F,A,POW,OHTHREE,STANEY CREEK,3-Jun-18,3-Jun-18,1,29,0.909090909
91,F,A,POW,OHTHREE,STANEY CREEK,3-Jun-18,3-Jun-18,1,28,0.909090909
94,F,A,POW,OHTHREE,STANEY CREEK,6-Jun-18,6-Jun-18,1,29,1
95,F,A,POW,OHTHREE,STANEY CREEK,6-Jun-18,6-Jun-18,1,19,0.8125
96,U,U,POW,OHTHREE,SHINAKU INLET,7-Jun-18,7-Jun-18,1,8,0.857142857
98,U,U,POW,OHTHREE,SHINAKU INLET,7-Jun-18,7-Jun-18,1,6,0.833333333
99,U,U,POW,OHTHREE,SHINAKU INLET,7-Jun-18,7-Jun-18,1,23,1
100,U,U,POW,OHTHREE,SHINAKU INLET,7-Jun-18,7-Jun-18,1,5,0.75
101,U,U,POW,OHTHREE,SHINAKU INLET,7-Jun-18,7-Jun-18,1,8,1
102,F,U,POW,OHTHREE,PORT PROTECTION,11-Jun-18,11-Jun-18,1,23,0.9
103,U,J,POW,OHTHREE,PORT PROTECTION,11-Jun-18,11-Jun-18,1,13,0.75
104,F,A,POW,OHTHREE,PORT PROTECTION,11-Jun-18,11-Jun-18,1,9,1
105,F,A,POW,OHTHREE,PORT PROTECTION,10-Jun-18,10-Jun-18,1,21,0.95
106,M,A,POW,OHTHREE,PORT PROTECTION,10-Jun-18,10-Jun-18,1,23,1
108,F,A,POW,OHTHREE,SHAKAN BAY,12-Jun-18,12-Jun-18,1,11,1
110,F,A,POW,OHTHREE,SHAKAN BAY,12-Jun-18,12-Jun-18,1,19,0.769230769
111,M,A,POW,OHTHREE,SHAKAN BAY,12-Jun-18,12-Jun-18,1,11,0.9
112,F,A,POW,OHTHREE,SHAKAN BAY,12-Jun-18,12-Jun-18,1,13,1
113,M,A,POW,OHTHREE,SHAKAN BAY,12-Jun-18,12-Jun-18,1,31,0.952380952
114,M,J,POW,OHTHREE,SHAKAN BAY,12-Jun-18,12-Jun-18,1,22,0.8
115,F,A,POW,OHTHREE,SHAKAN BAY,13-Jun-18,13-Jun-18,1,41,1
116,F,A,POW,OHTHREE,SHAKAN BAY,13-Jun-18,13-Jun-18,1,32,1
118,M,J,POW,OHTHREE,SHAKAN BAY,13-Jun-18,13-Jun-18,1,16,1
119,F,A,POW,OHTHREE,PORT BEAUCLERC,14-Jun-18,14-Jun-18,1,11,1
121,F,J,POW,OHTHREE,PORT BEAUCLERC,14-Jun-18,14-Jun-18,1,35,1
122,M,A,POW,OHTHREE,PORT BEAUCLERC,14-Jun-18,14-Jun-18,1,13,0.875
123,M,J,POW,OHTHREE,PORT BEAUCLERC,14-Jun-18,14-Jun-18,1,6,0.75
124,F,A,POW,OHTHREE,PORT BEAUCLERC,14-Jun-18,14-Jun-18,1,9,1
125,F,A,POW,OHTHREE,EDNA BAY,15-Jun-18,15-Jun-18,1,27,0.888888889
126,F,A,POW,OHTHREE,EDNA BAY,15-Jun-18,15-Jun-18,1,25,0.85
127,U,A,POW,EIGHTYEIGHT,COSMOS PASS,16-Jun-18,16-Jun-18,1,22,0.9
128,F,A,POW,EIGHTYEIGHT,COSMOS PASS,16-Jun-18,16-Jun-18,1,8,0.6
129,F,A,POW,EIGHTYEIGHT,COSMOS PASS,16-Jun-18,16-Jun-18,1,9,1
130,U,U,POW,EIGHTYEIGHT,COSMOS PASS,16-Jun-18,16-Jun-18,1,8,0.875
131,M,A,POW,OHTHREE,NOSSUK BAY,17-Jun-18,17-Jun-18,1,25,1
132,M,A,POW,OHTHREE,NOSSUK BAY,17-Jun-18,17-Jun-18,1,25,0.85
133,U,U,POW,OHTHREE,SAN CHRISTOVAL,18-Jun-18,18-Jun-18,1,14,0.9
134,U,U,POW,OHTHREE,SAN CHRISTOVAL,18-Jun-18,18-Jun-18,1,8,1
135,U,U,POW,OHTHREE,SAN CHRISTOVAL,18-Jun-18,18-Jun-18,1,11,0.9
137,F,A,POW,OHTHREE,SAN CHRISTOVAL,18-Jun-18,18-Jun-18,1,5,0.25
138,M,A,POW,OHTHREE,SAN CHRISTOVAL,18-Jun-18,18-Jun-18,1,10,0.444444444
140,U,J,POW,OHTHREE,SAN CHRISTOVAL,18-Jun-18,18-Jun-18,1,21,1
144,U,U,POW,TEN,SODA BAY,21-Jun-18,21-Jun-18,1,26,1
145,M,A,POW,OHTHREE,PORT PROTECTION,10-Jun-18,10-Jun-18,1,22,1
146,U,U,POW,OHTHREE,SHAKAN BAY,11-Jun-18,11-Jun-18,1,8,1
147,U,U,POW,OHTHREE,SHAKAN BAY,11-Jun-18,11-Jun-18,1,13,0.8
148,U,U,POW,OHTHREE,SHAKAN BAY,11-Jun-18,11-Jun-18,1,9,0.8
149,F,A,POW,OHTHREE,SHAKAN BAY,12-Jun-18,12-Jun-18,1,31,1
150,U,A,POW,OHTHREE,SHAKAN BAY,12-Jun-18,12-Jun-18,1,23,1
151,U,U,POW,OHTHREE,SHAKAN BAY,12-Jun-18,12-Jun-18,1,19,0.733333333
152,U,U,POW,OHTHREE,SHAKAN BAY,12-Jun-18,12-Jun-18,1,21,1
154,U,U,POW,OHTHREE,SHAKAN BAY,12-Jun-18,12-Jun-18,1,12,0.9
156,F,A,POW,OHTHREE,SHAKAN BAY,13-Jun-18,13-Jun-18,1,29,1
159,U,U,POW,OHTHREE,SHAKAN BAY,13-Jun-18,13-Jun-18,1,10,1
160,U,A,POW,OHTHREE,PORT BEAUCLERC,14-Jun-18,14-Jun-18,1,23,0.882352941
161,F,A,POW,OHTHREE,PORT BEAUCLERC,14-Jun-18,14-Jun-18,1,10,0.857142857
162,U,U,POW,OHTHREE,PORT BEAUCLERC,14-Jun-18,14-Jun-18,1,11,1
163,F,A,POW,OHTHREE,PORT BEAUCLERC,14-Jun-18,14-Jun-18,1,24,0.95
166,U,J,POW,OHTHREE,PORT BEAUCLERC,14-Jun-18,14-Jun-18,1,9,0.833333333
167,U,U,POW,OHTHREE,EDNA BAY,15-Jun-18,15-Jun-18,1,12,1
168,F,U,POW,OHTHREE,EDNA BAY,15-Jun-18,15-Jun-18,1,6,1
169,U,U,POW,EIGHTYEIGHT,COSMOS PASS,16-Jun-18,16-Jun-18,1,21,1
171,U,U,POW,EIGHTYEIGHT,COSMOS PASS,16-Jun-18,16-Jun-18,1,11,1
172,U,U,POW,OHTHREE,NOSSUK BAY,17-Jun-18,17-Jun-18,1,25,0.933333333
173,U,A,POW,OHTHREE,NOSSUK BAY,17-Jun-18,17-Jun-18,1,28,0.95
174,M,A,POW,OHTHREE,NOSSUK BAY,17-Jun-18,17-Jun-18,1,19,0.692307692
175,U,A,POW,OHTHREE,SAN CHRISTOVAL,18-Jun-18,18-Jun-18,1,6,1
176,U,A,POW,OHTHREE,SAN CHRISTOVAL,18-Jun-18,18-Jun-18,1,25,1
177,M,A,POW,OHTHREE,SAN CHRISTOVAL,18-Jun-18,18-Jun-18,1,11,0.714285714
182,U,U,POW,TEN,SODA BAY,21-Jun-18,21-Jun-18,1,9,1
185,F,A,POW,OHTHREE,PORTILLO CHANNEL,26-Jun-18,26-Jun-18,1,22,0.95
186,U,A,POW,OHTHREE,PORTILLO CHANNEL,26-Jun-18,26-Jun-18,1,6,1
187,U,U,POW,OHTHREE,PORTILLO CHANNEL,26-Jun-18,26-Jun-18,1,9,1
188,M,A,POW,OHTHREE,PORTILLO CHANNEL,26-Jun-18,26-Jun-18,1,20,1
189,M,A,POW,EIGHTYEIGHT,MAURELLES,27-Jun-18,27-Jun-18,1,21,0.823529412
191,U,A,POW,EIGHTYEIGHT,MAURELLES,27-Jun-18,27-Jun-18,1,8,1
192,M,A,POW,EIGHTYEIGHT,MAURELLES,27-Jun-18,27-Jun-18,1,28,1
193,U,A,POW,EIGHTYEIGHT,MAURELLES,28-Jun-18,28-Jun-18,1,8,1
194,F,A,POW,EIGHTYEIGHT,MAURELLES,28-Jun-18,28-Jun-18,1,28,0.95
195,M,A,POW,EIGHTYEIGHT,MAURELLES,28-Jun-18,28-Jun-18,1,13,0.909090909
196,M,A,POW,EIGHTYEIGHT,MAURELLES,29-Jun-18,29-Jun-18,1,20,0.866666667
197,U,A,POW,EIGHTYEIGHT,MAURELLES,29-Jun-18,29-Jun-18,1,26,1
198,F,A,POW,EIGHTYEIGHT,MAURELLES,30-Jun-18,30-Jun-18,1,23,0.944444444
200,F,A,POW,EIGHTYEIGHT,MAURELLES,30-Jun-18,30-Jun-18,1,10,0.8
201,U,A,POW,EIGHTYEIGHT,MAURELLES,30-Jun-18,30-Jun-18,1,6,1
203,U,J,POW,TEN,DUNBAR,1-Jul-18,1-Jul-18,1,5,1
205,F,A,POW,TEN,DUNBAR,1-Jul-18,1-Jul-18,1,7,1
206,M,A,POW,TEN,DUNBAR,1-Jul-18,1-Jul-18,1,16,0.9
207,U,A,POW,TEN,DUNBAR,1-Jul-18,1-Jul-18,1,7,1
211,M,A,POW,OHTHREE,PORTILLO CHANNEL,26-Jun-18,26-Jun-18,1,22,1
212,U,J,POW,OHTHREE,PORTILLO CHANNEL,26-Jun-18,26-Jun-18,1,32,0.95
213,F,A,POW,OHTHREE,PORTILLO CHANNEL,26-Jun-18,26-Jun-18,1,20,1
214,M,A,POW,OHTHREE,PORTILLO CHANNEL,26-Jun-18,26-Jun-18,1,10,0.375
215,U,A,POW,EIGHTYEIGHT,MAURELLES,27-Jun-18,27-Jun-18,1,22,1
217,M,A,POW,EIGHTYEIGHT,MAURELLES,27-Jun-18,27-Jun-18,1,5,1
218,M,A,POW,EIGHTYEIGHT,MAURELLES,27-Jun-18,27-Jun-18,1,9,1
219,F,A,POW,EIGHTYEIGHT,MAURELLES,27-Jun-18,27-Jun-18,1,15,1
220,U,U,POW,EIGHTYEIGHT,MAURELLES,28-Jun-18,28-Jun-18,1,24,0.8
222,F,A,POW,EIGHTYEIGHT,MAURELLES,28-Jun-18,28-Jun-18,1,10,1
223,F,A,POW,EIGHTYEIGHT,MAURELLES,28-Jun-18,28-Jun-18,1,6,0.833333333
224,M,A,POW,EIGHTYEIGHT,MAURELLES,28-Jun-18,28-Jun-18,1,12,0.8
225,F,A,POW,EIGHTYEIGHT,MAURELLES,28-Jun-18,28-Jun-18,1,28,1
227,F,A,POW,EIGHTYEIGHT,MAURELLES,29-Jun-18,29-Jun-18,1,12,1
228,U,U,POW,EIGHTYEIGHT,MAURELLES,29-Jun-18,29-Jun-18,1,14,0.692307692
229,F,A,POW,EIGHTYEIGHT,MAURELLES,29-Jun-18,29-Jun-18,1,21,0.888888889
230,F,A,POW,EIGHTYEIGHT,MAURELLES,30-Jun-18,30-Jun-18,1,20,1
231,U,J,POW,EIGHTYEIGHT,MAURELLES,30-Jun-18,30-Jun-18,1,5,0.75
233,F,A,POW,TEN,DUNBAR,1-Jul-18,1-Jul-18,1,8,1
234,M,A,POW,TEN,DUNBAR,1-Jul-18,1-Jul-18,1,7,0.75
235,F,A,POW,TEN,DUNBAR,1-Jul-18,1-Jul-18,1,6,0.833333333
236,U,U,POW,TEN,DUNBAR,1-Jul-18,1-Jul-18,1,6,1
237,U,A,POW,TEN,DUNBAR,1-Jul-18,1-Jul-18,1,8,1
238,U,A,POW,TEN,DUNBAR,1-Jul-18,1-Jul-18,1,9,1
239,U,A,POW,OHTHREE,NOSSUK BAY,11-Jul-18,11-Jul-18,1,8,1
240,F,J,POW,OHTHREE,NOSSUK BAY,11-Jul-18,11-Jul-18,1,28,1
241,U,J,POW,OHTHREE,BLANQUIZAL,11-Jul-18,11-Jul-18,1,13,0.75
244,F,A,POW,OHTHREE,BLANQUIZAL,12-Jul-18,12-Jul-18,1,23,0.928571429
247,F,A,POW,OHTHREE,BLANQUIZAL,12-Jul-18,12-Jul-18,1,15,0.909090909
248,U,A,POW,OHTHREE,SAN CHRISTOVAL,13-Jul-18,13-Jul-18,1,12,0.909090909
249,U,A,POW,OHTHREE,SAN CHRISTOVAL,13-Jul-18,13-Jul-18,1,16,1
250,M,A,POW,OHTHREE,SAN CHRISTOVAL,13-Jul-18,13-Jul-18,1,19,1
251,U,J,POW,OHTHREE,SAN CHRISTOVAL,13-Jul-18,13-Jul-18,1,11,0.818181818
255,F,A,POW,OHTHREE,GARCIA,14-Jul-18,14-Jul-18,1,5,1
258,F,J,POW,OHTHREE,GARCIA,14-Jul-18,14-Jul-18,1,34,1
259,F,A,POW,OHTHREE,GARCIA,14-Jul-18,14-Jul-18,1,5,0.75
260,U,U,POW,OHTHREE,GARCIA,14-Jul-18,14-Jul-18,1,12,1
261,M,A,POW,OHTHREE,PORTILLO CHANNEL,14-Jul-18,14-Jul-18,1,15,0.153846154
262,F,A,POW,OHTHREE,PORTILLO CHANNEL,14-Jul-18,14-Jul-18,1,7,0.857142857
263,M,A,POW,OHTHREE,NOSSUK BAY,15-Jul-18,15-Jul-18,1,22,0.842105263
264,M,A,POW,OHTHREE,NOSSUK BAY,11-Jul-18,11-Jul-18,1,20,1
265,F,A,POW,OHTHREE,BLANQUIZAL,11-Jul-18,11-Jul-18,1,6,0.6
266,F,A,POW,OHTHREE,BLANQUIZAL,12-Jul-18,12-Jul-18,1,28,0.9
267,M,A,POW,OHTHREE,BLANQUIZAL,12-Jul-18,12-Jul-18,1,16,1
268,U,A,POW,OHTHREE,BLANQUIZAL,12-Jul-18,12-Jul-18,1,5,1
269,M,A,POW,OHTHREE,BLANQUIZAL,12-Jul-18,12-Jul-18,1,5,1
270,F,A,POW,OHTHREE,BLANQUIZAL,12-Jul-18,12-Jul-18,1,18,0.933333333
272,U,U,POW,OHTHREE,SAN CHRISTOVAL,13-Jul-18,13-Jul-18,1,8,0.75
273,U,A,POW,OHTHREE,SAN CHRISTOVAL,13-Jul-18,13-Jul-18,1,27,1
274,M,A,POW,OHTHREE,SHINAKU INLET,13-Jul-18,13-Jul-18,1,10,1
275,M,A,POW,OHTHREE,GARCIA,14-Jul-18,14-Jul-18,1,20,1
276,F,A,POW,OHTHREE,GARCIA,14-Jul-18,14-Jul-18,1,15,1
277,U,A,POW,OHTHREE,GARCIA,14-Jul-18,14-Jul-18,1,12,1
