prop,species,area
0.947484519,clam,2010
0.915597162,clam,1994
0.742957647,clam,1988
0.590702879,clam,2003
0.533594002,clam,1975
0.210857483,crab,2003
0.20940405,crab,1975
0.13494443,mussel,1975
0.111278788,snail,2003
0.079331692,urchin,1988
0.078693034,snail,1988
0.068445775,crab,1988
0.056805039,snail,1975
0.055434756,crab,1994
0.043615977,urchin,1975
0.037669894,other,2003
0.034423104,urchin,2003
0.031056676,other,2010
0.024878214,other,1988
0.023758728,urchin,1994
0.012713813,chiton,1975
0.009170076,urchin,2010
0.007629928,star,2003
0.005010978,snail,1994
0.004903644,crab,2010
0.004593672,other,1975
0.004307615,chiton,1988
0.004201825,mussel,2010
0.003920128,star,1975
0.003184079,mussel,2003
0.003054259,chiton,2003
0.002747347,chiton,2010
0.001386024,worm,1988
0.000584646,abalone,2003
0.00057619,worm,2003
0.000408889,worm,1975
0.000339607,star,2010
0.000198375,worm,1994
8.89E-05,worm,2010
3.88E-05,barnacle,2003
7.39E-06,snail,2010
0,barnacle,1975
0,abalone,1975
0,mussel,1988
0,star,1988
0,barnacle,1988
0,abalone,1988
0,mussel,1994
0,star,1994
0,chiton,1994
0,barnacle,1994
0,other,1994
0,abalone,1994
0,barnacle,2010
0,abalone,2010
