"Model","Coef","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.200","psrf"
"1h","among site",0.2423,0.3843,0.5787,0.3964,0.0895,NA,8e-04,0.9,11887,0.0189,1.0002
"1h","within site",0.3933,0.4412,0.494,0.4424,0.0261,NA,2e-04,0.7,20259,0.0049,1
"1h","intercept",1.9219,2.5119,3.1006,2.5144,0.2979,NA,0.0106,3.6,785,0.4238,1.0074
"1h","time",0.0208,0.0397,0.0583,0.0397,0.0095,NA,5e-04,4.8,438,0.6633,1.0107
"1h","time^2",-3e-04,-2e-04,0,-2e-04,1e-04,NA,0,4.9,424,0.632,1.0099
"1h","SOI",0.1212,0.4491,0.7988,0.4493,0.1699,NA,0.0018,1.1,8887,-0.0013,1.0002
"1h","SOI^2",-1.1426,-0.5315,0.0546,-0.5305,0.3038,NA,0.0041,1.4,5464,0.0118,1.0007
"1g","among site",0.2744,0.4184,0.6201,0.4297,0.0915,NA,8e-04,0.9,11759,0.024,0.9999
"1g","within site",0.3931,0.4408,0.4943,0.4422,0.026,NA,2e-04,0.7,21235,0.0074,1.0001
"1g","intercept",1.7266,2.2864,2.8593,2.2914,0.288,NA,0.0115,4,623,0.4877,1.0125
"1g","time",0.0213,0.041,0.0612,0.0407,0.0103,NA,5e-04,5.3,362,0.6945,1.0181
"1g","time^2",-3e-04,-2e-04,0,-2e-04,1e-04,NA,0,4.9,423,0.6555,1.0175
"1g","SOI",-0.0012,0.2994,0.6168,0.3015,0.1572,NA,0.0014,0.9,12485,-0.0047,1.0004
"1b","among site",0.3197,0.4763,0.6876,0.4881,0.0985,NA,8e-04,0.8,16589,-0.0033,1.0001
"1b","within site",0.3915,0.4412,0.4932,0.4424,0.026,NA,2e-04,0.7,20272,0.0155,1.0004
"1b","intercept",2.302,2.7471,3.1844,2.7486,0.224,NA,0.0041,1.8,2946,0.0699,1.0026
"1b","time",0.0118,0.0182,0.0244,0.0182,0.0032,NA,1e-04,1.9,2916,0.0749,1.0022
"1b","SOI",-0.0492,0.3094,0.6556,0.3091,0.1773,NA,0.0018,1,9690,0.0049,1.0004
