"modID","model","WAIC","WAIC_se","deltaWAIC","deltaWAIC_se","P_comp","Likelihood","WAICwt"
"WAIC5g","5g",-830.421,50.05,0,0,1,1,0.101
"WAIC5d","5d",-830.369,50.021,0.026,1.915,0.495,0.987,0.1
"WAIC5f","5f",-830.349,49.595,0.036,1.717,0.492,0.982,0.1
"WAIC5h","5h",-830.167,50.084,0.127,0.351,0.359,0.939,0.095
"WAIC5i","5i",-830.167,50.084,0.127,0.351,0.359,0.939,0.095
"WAIC5j","5j",-830.167,50.084,0.127,0.351,0.359,0.939,0.095
"WAIC5e","5e",-830.156,49.6,0.133,1.775,0.47,0.936,0.095
"WAIC5c","5c",-829.9,49.971,0.261,1.941,0.447,0.878,0.089
"WAIC5l","5l",-829.877,49.373,0.272,1.902,0.443,0.873,0.089
"WAIC5k","5k",-828.266,49.35,1.078,1.969,0.292,0.583,0.059
"WAIC5a","5a",-826.82,50.177,1.801,3.431,0.3,0.406,0.041
"WAIC5b","5b",-826.722,49.782,1.85,3.279,0.286,0.397,0.04
