place_name,date,NOX_site,NOX_site_se,NH4_site,NH4_site_se,PO4_site,PO4_site_se,Ntotal_site,Ntotal_site_se,NP_site,NP_site_se,dissolved_02_mg.l_transect,dissolved_02_percent_transect,specific_conductivity_transect,salinity_ppt_transect,temperature_C_transect,sediment,light_attenuation
Salt Lake Bay,4/29/2017,0.58,0.42,3.93,2.98,0.38,0.12,4.52,3.4,10.12,5.72,13.3,NA,NA,28,8,1.6,0.64
Nossuk Bay,5/29/2017,0.18,0.02,1.17,0.1,0.35,0.02,1.35,0.11,3.89,0.14,10.72,116.6,47741,30.9,10.3,1.3,0.62
Chusini Cove,6/25/2017,1.63,0.1,3.71,0.71,0.55,0.05,5.33,0.81,9.66,0.55,8.95,101.4,45527,29.5,12.8,1,0.57
Kaguk Cove,6/24/2017,0.94,0.08,3.83,0.22,0.93,0.03,4.77,0.3,5.1,0.16,10.03,108.2,47365,30.6,11,1.2,0.54
Naukati Bay,7/25/2017,0.49,0.05,1.2,0.26,0.36,0.01,1.69,0.31,4.69,0.74,10.7,124.4,45655,29.7,13.7,1,0.32
Guktu Bay,7/24/2017,2.15,0.18,2.57,0.6,0.75,0.04,4.72,0.78,6.29,0.7,8.5,92,48250,31.4,11.8,1.2,0.57
Blanquizal Point,8/20/2017,2.01,0.28,2.08,0.3,0.67,0.05,4.09,0.57,6.09,0.4,8.22,93.1,47185,30.6,12.9,3.1,0.43
Soda Bay,4/30/2017,0.8,0,2.25,0.77,0.35,0.02,3.05,0.77,8.58,1.74,10.9,NA,NA,30,10,2.9,0.76
Goats mouth inlet,5/27/2017,1.75,0.26,2.63,0.28,0.56,0,4.38,0.02,7.79,0.04,10.14,112.3,47300,30.7,11.1,4,0.71
North Pass,5/26/2017,2.79,0.01,2.36,0,0.68,0.03,5.15,0,7.56,0.28,9.87,105,46422,30,9.9,2.9,0.64
Natzuhini Bay,6/28/2017,0.8,0.03,2.35,0.22,0.61,0,3.15,0.2,5.19,0.3,9.43,106.7,45992,29.8,12.5,4.6,0.83
Dunbar Inlet,6/27/2017,0.06,0.04,1.64,0.12,0.37,0.04,1.7,0.16,4.58,0.05,9.8,113,46324,30.1,13.1,2,0.46
Farallon Bay,7/23/2017,1.8,0.44,0.99,0.04,0.3,0.11,2.79,0.48,10.27,2.17,6.52,72,44277,28.7,12.4,3.8,0.29
Hetta Cove,7/22/2017,0.39,0.06,1.37,0.02,0.53,0.06,1.76,0.05,3.35,0.46,8.61,98.2,45200,29.3,13.4,5.2,0.47
North Fish Egg Island,5/24/2017,0.23,0.03,1.18,0.24,0.27,0.01,1.42,0.21,5.14,0.62,9.86,101.8,38426,24.3,10,3.3,0.32
South Fish Egg Island,5/25/2017,0.51,0.03,1.73,0.06,0.46,0.01,2.24,0.03,4.85,0.02,10.44,113.8,46819,30.3,10.7,3.4,0.48
South Wadleigh Island,6/22/2017,0.42,0.08,1.3,0.06,0.36,0.01,1.72,0.14,4.74,0.26,9.19,103.9,45852,29.7,12.4,1,0.65
Shinaku Inlet,6/23/2017,0.8,0.07,1.77,0.23,0.53,0,2.56,0.16,4.85,0.34,9.82,11.8,43412,28,13.5,1,0.37
Trocadero Bay,8/21/2017,2.07,0.14,2.84,0.4,0.62,0.03,4.9,0.54,7.86,0.54,8.11,92.6,47712,31.1,12.4,4.7,0.74
Garcia Bay,7/26/2017,0.08,0.02,1.17,0.14,0.49,0.1,1.25,0.16,2.59,0.19,9.1,104,48452,31.5,16.6,3.5,0.55
Port Refugio,8/22/2017,0.92,0.12,2.98,1.18,0.5,0.07,3.9,1.29,7.58,1.5,8.2,92.6,45618,29.4,12.6,3.4,0.43
