"place_name","date","latitude","longitude","NOX_site","NH4_site","PO4_site","Ntotal_site","NP_site","NOX_1m_ND","NH4_1m_ND","PO4_1m_ND","Ntotal_1m_ND","NP_1m_ND","NOX_1m_ND","NOX_1m_ND_se","NH4_1m_ND","NH4_1m_ND_se","PO4_1m_ND","PO4_1m_ND_se","Ntotal_1m_ND","Ntotal_1m_ND_se","NP_1m_ND","NP_1m_ND_se","NOX_4m_ND","NOX_4m_ND_se","NH4_4m_ND","NH4_4m_ND_se","PO4_4m_ND","PO4_4m_ND_se","Ntotal_4m_ND","Ntotal_4m_ND_se","NP_4m_ND","NP_4m_ND_se","dens_surv1","dens_surv2","sea_otter_duration","pop_mod_dens","n_pits","prop_otter_shells","sea_otter_index","dissolved_02_mg.l_transect","dissolved_02_percent_transect","specific_conductivity_transect","salinity_ppt_transect","temperature_C_transect","sediment","light_availability"
"Salt Lake Bay","2017-04-29",55.67,-133.38,0.58,3.93,0.38,4.52,10.12,0.15,0.82,0.33,0.97,2.92,0.15,0.07,0.82,0.01,0.33,0.01,0.97,0.06,2.92,0.09,0.58,0.12,2.78,0.01,0.6,0.07,3.36,0.11,5.68,0.51,9.94,5.3,14,2.88,114,0.49,1,13.3,NA,NA,28,8,1.6,0.64
"Nossuk Bay","2017-05-29",55.71,-133.34,0.18,1.17,0.35,1.35,3.89,0.16,1.02,0.21,1.18,5.45,0.16,0.04,1.02,0.25,0.21,0.02,1.18,0.3,5.45,0.93,0.3,0.14,2.03,0.98,0.46,0,2.33,1.11,5.11,2.46,4.35,7.77,14,2.88,23,0.38,0.74,10.72,116.6,47741,30.9,10.3,1.3,0.62
"Chusini Cove","2017-06-25",55.81,-133.17,1.63,3.71,0.55,5.33,9.66,0.15,0.75,0.34,0.9,2.63,0.15,0.1,0.75,0.11,0.34,0.03,0.9,0.01,2.63,0.2,0.08,0.04,0.89,0.15,0.4,0.04,0.97,0.11,2.49,0.51,5.45,4.54,14,2.88,3,0.35,0.53,8.95,101.4,45527,29.5,12.8,1,0.57
"Kaguk Cove","2017-06-24",55.73,-133.29,0.94,3.83,0.93,4.77,5.1,1.7,2.59,0.63,4.29,6.82,1.7,0.12,2.59,0.96,0.63,0.02,4.29,0.84,6.82,1.15,2.62,0.08,3.5,1.37,0.87,0.13,6.12,1.29,7,0.44,15.46,12.19,14,2.88,49,0.41,1.08,10.03,108.2,47365,30.6,11,1.2,0.54
"Naukati Bay","2017-07-25",55.86,-133.19,0.49,1.2,0.36,1.69,4.69,0.3,2.51,0.44,2.81,5.97,0.3,0.11,2.51,1.33,0.44,0.09,2.81,1.44,5.97,2.09,0.46,0.05,3,0,0.67,0.05,3.46,0.05,5.21,0.31,1.41,2.08,14,2.88,83,0.4,0.54,10.7,124.4,45655,29.7,13.7,1,0.32
"Guktu Bay","2017-07-24",55.74,-133.31,2.15,2.57,0.75,4.72,6.29,1.61,2.64,0.72,4.25,5.94,1.61,0.12,2.64,0.6,0.72,0.02,4.25,0.48,5.94,0.81,2.63,0.2,4.91,1.24,0.86,0.09,7.53,1.44,8.71,0.78,12.3,15.04,14,2.88,244,0.37,1.18,8.5,92,48250,31.4,11.8,1.2,0.57
"Blanquizal Point","2017-08-20",55.62,-133.39,2.01,2.08,0.67,4.09,6.09,0.75,2.33,0.53,3.08,5.86,0.75,0.09,2.33,0.14,0.53,0,3.08,0.23,5.86,0.45,0.25,0.17,1.26,0.69,0.39,0.09,1.51,0.86,3.59,1.38,5.55,2.3,14,1.34,128,0.51,0.63,8.22,93.1,47185,30.6,12.9,3.1,0.43
"Soda Bay","2017-04-30",55.26,-133,0.8,2.25,0.35,3.05,8.58,0.21,1.58,0.17,1.8,11.9,0.21,0.15,1.58,0.52,0.17,0.04,1.8,0.37,11.9,5.13,0.71,0.06,2.79,0.91,0.45,0.03,3.5,0.97,7.63,1.57,0.93,0.42,7,1.34,0,0.19,-0.47,10.9,NA,NA,30,10,2.9,0.76
"Goats mouth inlet","2017-05-27",55.19,-132.9,1.75,2.63,0.56,4.38,7.79,0.89,8.7,0.83,9.58,9.25,0.89,0.55,8.7,7.45,0.83,0.56,9.58,8,9.25,3.4,0.42,0.05,1.5,0.2,0.41,0.08,1.92,0.26,4.71,0.29,0,0,7,1.34,2,0.06,-0.66,10.14,112.3,47300,30.7,11.1,4,0.71
"North Pass","2017-05-26",55.23,-132.93,2.79,2.36,0.68,5.15,7.56,0.56,2.49,0.49,3.05,5.54,0.56,0.18,2.49,1.73,0.49,0.14,3.05,1.9,5.54,2.3,0.74,0.03,1.44,0.3,0.54,0.02,2.18,0.27,4.08,0.64,0,0,7,1.34,1,0.12,-0.64,105,9.87,46422,30,9.9,2.9,0.64
"Natzuhini Bay","2017-06-28",55.25,-132.88,0.8,2.35,0.61,3.15,5.19,0.35,2.2,0.34,2.55,7.51,0.35,0.02,2.2,0.33,0.34,0.03,2.55,0.36,7.51,0.37,0.33,0.07,1.68,0.5,0.59,0.11,2.01,0.57,3.73,1.69,0,0,7,1.34,0,0.13,-0.69,9.43,106.7,45992,29.8,12.5,4.6,0.83
"Dunbar Inlet","2017-06-27",55.08,-132.83,0.06,1.64,0.37,1.7,4.58,0.25,1.61,0.3,1.86,5.73,0.25,0.07,1.61,1,0.3,0.14,1.86,1.08,5.73,0.97,0.51,0.05,1.5,0.02,0.34,0.03,2.01,0.03,5.93,0.61,0.11,0.11,7,1.34,0,0.08,-0.69,9.8,113,46324,30.1,13.1,2,0.46
"Farallon Bay","2017-07-23",55.19,-133.11,1.8,0.99,0.3,2.79,10.27,2.43,3.11,0.56,5.54,9.9,2.43,0.72,3.11,0.26,0.56,0.06,5.54,0.97,9.9,0.75,2.24,0.41,2.62,0.18,0.72,0.14,4.86,0.58,6.85,0.52,0,0,7,1.34,0,0.11,-0.71,6.52,72,44277,28.7,12.4,3.8,0.29
"Hetta Cove","2017-07-22",55.16,-132.59,0.39,1.37,0.53,1.76,3.35,1,0.46,0.2,1.46,7.64,1,0.02,0.46,0.12,0.2,0.04,1.46,0.1,7.64,0.93,0.61,0.24,2.6,1.9,0.37,0.14,3.21,2.13,7.67,2.99,0,0,7,1.34,5,0.14,-0.54,8.61,98.2,45200,29.3,13.4,5.2,0.47
"North Fish Egg Island","2017-05-24",55.5,-133.17,0.23,1.18,0.27,1.42,5.14,0.08,1.15,0.3,1.24,4.46,0.08,0.06,1.15,0.29,0.3,0.05,1.24,0.35,4.46,1.88,0.17,0.05,1.65,0.07,0.36,0,1.82,0.02,5.01,0.05,3.81,0.81,14,0.15,8,0.07,-0.2,9.86,101.8,38426,24.3,10,3.3,0.32
"South Fish Egg Island","2017-05-25",55.48,-133.18,0.51,1.73,0.46,2.24,4.85,0.04,1.34,0.42,1.37,3.35,0.04,0.04,1.34,0.13,0.42,0.05,1.37,0.17,3.35,0.31,0,NA,0.9,NA,0.2,NA,0.9,NA,4.44,NA,0.8,0.59,14,0.15,190,0.29,0.03,10.44,113.8,46819,30.3,10.7,3.4,0.48
"South Wadleigh Island","2017-06-22",55.53,-133.15,0.42,1.3,0.36,1.72,4.74,0,1.41,0.53,1.41,2.91,0,0,1.41,0.27,0.53,0.12,1.41,0.27,2.91,1.18,0,0,0.8,0.05,0.38,0.01,0.8,0.05,2.12,0.19,0.37,0.47,14,0.15,51,0.3,-0.13,9.19,103.9,45852,29.7,12.4,1,0.65
