(Intercept),diatom_dens_as,epiphmass_shootmass_dt,fish_mass,NOx_site,sea_otter_index_tr,sed_inside_prim,BIC,R^2,adjR^2,df,logLik,AICc,delta,weight
0,NA,-0.449373679,NA,0.444202048,0.548752655,NA,197.7625648,0.422144198,0.422185149,5,-91.26997629,196.5399526,0,0.046570688
0,-0.313378229,-0.391434897,NA,0.481228502,0.591506384,NA,197.2793225,0.511501908,0.511551528,6,-89.50609394,197.0121879,0.472235309,0.036776302
0,NA,NA,NA,NA,0.431509466,NA,198.8637048,0.18620042,0.186218483,3,-94.86506876,197.1419022,0.60194966,0.034466799
0,-0.561535227,NA,NA,0.423113058,NA,-0.590622499,198.6352635,0.397624235,0.397662808,5,-91.70632568,197.4126514,0.872698786,0.030102913
0,-0.376148174,NA,NA,0.340171097,0.518071885,NA,198.879416,0.390579958,0.390617847,5,-91.82840192,197.6568038,1.116851273,0.026643513
0,-0.310003582,NA,NA,NA,0.481728594,NA,199.3429021,0.279780679,0.27980782,4,-93.58240617,197.6648123,1.124859763,0.026537039
0,-0.517996957,-0.348996424,NA,0.553897485,NA,-0.641986702,197.9409414,0.495866442,0.495914545,6,-89.8369034,197.6738068,1.133854233,0.026417964
0,NA,NA,-0.304479012,NA,0.478623333,NA,199.4328797,0.276688172,0.276715013,4,-93.62739499,197.75479,1.214837405,0.025369626
0,NA,NA,NA,0.268543764,0.451741306,NA,199.9712011,0.257906846,0.257931865,4,-93.8965557,198.2931114,1.753158822,0.019382913
0,NA,-0.270505658,NA,NA,0.481940246,NA,200.0016388,0.256830467,0.256855382,4,-93.91177452,198.323549,1.783596467,0.019090162
