"(Intercept)","abvgnd_mass_dt","crab_mass","diatom_dens_as","fish_mass","grazermass_shootmass","macro_dens_as","NOx_site","sea_otter_index_tr","sed_inside_prim","BIC","R^2","adjR^2","df","logLik","AICc","delta","weight"
0,NA,NA,NA,0.385943326987373,NA,NA,0.494853306006691,NA,NA,-70.7602614307737,0.274847735504595,-0.00750126927705563,4,41.4691755908337,-72.4383511816674,0,0.0288356286618875
0,NA,NA,NA,NA,NA,NA,0.374631505765115,NA,NA,-70.2317364877546,0.140348765111838,-0.00383046226621913,3,39.6826519004625,-71.9535390950426,0.484812086624814,0.0226283984391109
0,-0.492499596280643,NA,NA,NA,NA,NA,0.523153495147644,0.438363654246024,NA,-70.5595262351906,0.366687986708848,-0.0100078151414076,5,42.8910692119038,-71.7821384238077,0.656212757859691,0.020769910939554
0,NA,NA,NA,NA,-0.320840788381947,NA,0.366945308318632,NA,NA,-69.8639875831489,0.243228498970201,-0.00663830270706023,4,41.0210386670213,-71.5420773340426,0.896273847624812,0.0184206958145021
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.1004601563374,0,0,2,38.0947525158921,-71.5228383651176,0.915512816549807,0.0182443477658373
0,NA,-0.282753889424603,NA,0.366893252427086,NA,NA,0.507180281873035,NA,NA,-70.1473966398228,0.354136338291005,-0.00966524984982781,5,42.68500441422,-71.3700088284399,1.06834235322746,0.0169021452587094
0,-0.343329267025688,NA,NA,NA,-0.37243521649488,NA,0.446223433605477,NA,NA,-70.0767690260919,0.351960500039395,-0.00960586588365222,5,42.6496906073545,-71.299381214709,1.13896996695841,0.0163156822316574
0,NA,-0.305167659847025,NA,NA,NA,NA,0.394340150958725,NA,NA,-69.584452842532,0.233087635032979,-0.00636153364088828,4,40.8812712967128,-71.2625425934257,1.17580858824171,0.0160179094160569
0,NA,NA,0.362233781588518,NA,-0.422029775926854,NA,NA,NA,NA,-69.5364554876673,0.23133278441475,-0.00631363946048261,4,40.8572726192805,-71.2145452385609,1.22380594310644,0.0156380767454935
0,NA,NA,NA,NA,-0.329631485182131,NA,NA,NA,NA,-69.4714810024281,0.108656916023378,-0.00296551392140595,3,39.3025241577992,-71.193283609716,1.24506757195134,0.015472711793128
0,NA,NA,NA,0.427807219752046,NA,NA,0.5482624548085,NA,-0.267491087953077,-69.7943697368606,0.343187075173874,-0.00936641758593395,5,42.5084909627389,-71.0169819254778,1.42136925618964,0.0141671669502938
0,NA,NA,NA,0.413951949156984,NA,-0.269648738197086,0.574886793928023,NA,NA,-69.748947487199,0.341764874755789,-0.00932760224593339,5,42.4857798379081,-70.9715596758161,1.46679150585125,0.0138490408280995
0,NA,NA,NA,0.333252426598769,-0.259768598335249,NA,0.472216902303575,NA,NA,-69.6857755094402,0.339781797577624,-0.00927347920255706,5,42.4541938490287,-70.9083876980573,1.52996348361005,0.013418441431635
0,-0.336957090129922,-0.353011675078803,NA,NA,NA,NA,0.476449865397591,NA,NA,-69.6324790431569,0.338104083941519,-0.00922769027971547,5,42.427545615887,-70.855091231774,1.58325994989339,0.0130655860431
0,-0.284137778285689,NA,NA,NA,NA,NA,0.441264653493901,NA,NA,-69.1389187566798,0.216643065784719,-0.00591272098521943,4,40.6585042537867,-70.8170085075735,1.6213426740939,0.0128191531430341
0,NA,-0.279699987011915,NA,NA,NA,NA,NA,NA,NA,-68.7666355972219,0.0782320827344657,-0.00213514554747464,3,38.9501014551961,-70.4884382045098,1.94991297715758,0.0108770519071413
0,-0.347145413120807,NA,NA,0.384113251282916,NA,NA,0.63226681863777,NA,-0.374875953074105,-70.2019615473976,0.442750628920342,-0.0120837513324235,6,44.2345480868691,-70.4690961737381,1.96925500792925,0.0107723667923917
0,-0.497856857417356,NA,NA,NA,-0.288981561378308,NA,0.511056271020577,0.353008335529065,NA,-70.1913250644434,0.442468311075369,-0.0120760461855247,6,44.229229845392,-70.458459690784,1.97989149088342,0.0107152288159608
0,NA,NA,0.301134000476179,NA,-0.398976529234282,NA,0.311731250559337,NA,NA,-69.2196393560882,0.324963104218715,-0.00886904069039247,5,42.2211257723526,-70.4422515447053,1.99609963696211,0.0106287427370908
