"ID","Sample","Batch","FA","Area","Conc"
"B_008","B_008_Ulva_322019_22.qgd","1","C12.0",44535,0.0977
"B_009","B_009_Ulva_322019_23.qgd","1","C12.0",40920,0.0898
"B_035","B_035_Ulva_322019_25.qgd","1","C12.0",26478,0.0581
"B_036","B_036_Ulva_322019_26.qgd","1","C12.0",41964,0.0921
"B_069","B_069_Ulva_342019_20.qgd","1","C12.0",27403,0.0601
"B_070","B_070_Ulva_342019_21.qgd","1","C12.0",30678,0.0673
"B_039","B_039_EG_322019_27.qgd","1","C12.0",46301,0.1016
"B_104","B_104_EG_322019_8.qgd","1","C12.0",27752,0.0609
"B_040","B_040_EG_342019_15.qgd","1","C12.0",62614,0.1374
"B_063","B_063_EG_342019_7.qgd","1","C12.0",65932,0.1447
"B_064","B_064_EG_342019_9.qgd","1","C12.0",41201,0.0904
"B_005","B_005_Fucus_322019_20.qgd","1","C12.0",159630,0.3503
"B_006","B_006_Fucus_322019_21.qgd","1","C12.0",213244,0.468
"B_030","B_030_Fucus_322019_13.qgd","1","C12.0",212430,0.4662
"B_031","B_031_Fucus_322019_14.qgd","1","C12.0",230846,0.5066
"B_066","B_066_Fucus_342019_8.qgd","1","C12.0",147307,0.3233
"B_067","B_067_Fucus_342019_19.qgd","1","C12.0",165357,0.3629
"B_033","B_033_SKelp_322019_15.qgd","1","C12.0",18504,0.0406
"B_034","B_034_SKelp_322019_24.qgd","1","C12.0",11445,0.0251
"B_060","B_060_SKelp_322019_16.qgd","1","C12.0",25553,0.0561
"B_061","B_061_SKelp_322019_18.qgd","1","C12.0",19000,0.0417
"B_001","B_001_ButterC__322019_11.qgd","1","C12.0",19653,0.0431
"B_002","B_002_ButterC_322019_12.qgd","1","C12.0",11510,0.0253
"B_048","B_048_ButterC_342019_18.qgd","1","C12.0",5828,0.0128
"B_050","B_050_Macoma_322019_7.qgd","1","C12.0",7097,0.0156
"B_018","B_018_Ido_342019_12.qgd","1","C12.0",50654,0.1112
"B_019","B_019_Ido_342019_13.qgd","1","C12.0",108262,0.2376
"B_020","B_020_Ido_342019_14.qgd","1","C12.0",63057,0.1384
"B_042","B_042_Ido_342019_16.qgd","1","C12.0",45650,0.1002
"B_079","B_079_Ido_342019_22.qgd","1","C12.0",112572,0.2471
"B_015","B_015_Dung_342019_11.qgd","1","C12.0",17742,0.0389
"B_287","B_287_Stag_322019_9.qgd","1","C12.0",6019,0.0132
"Blank","Blank_2-23__322019_10.qgd","1","C12.0",2633,0.0058
"Blank","Blank_2-27__322019_19.qgd","1","C12.0",4594,0.0101
"Blank","Blank_2-28_064__342019_10.qgd","1","C12.0",5379,0.0118
"Blank","Blank_3-1_342019_23.qgd","1","C12.0",6181,0.0136
"B_008","B_008_Ulva_322019_22.qgd","1","C13.0",4584,0.0087
"B_009","B_009_Ulva_322019_23.qgd","1","C13.0",10582,0.0201
"B_035","B_035_Ulva_322019_25.qgd","1","C13.0",4617,0.0088
"B_036","B_036_Ulva_322019_26.qgd","1","C13.0",7378,0.014
"B_069","B_069_Ulva_342019_20.qgd","1","C13.0",10613,0.0202
"B_070","B_070_Ulva_342019_21.qgd","1","C13.0",11584,0.022
"B_039","B_039_EG_322019_27.qgd","1","C13.0",3036,0.0058
"B_104","B_104_EG_322019_8.qgd","1","C13.0",2319,0.0044
"B_040","B_040_EG_342019_15.qgd","1","C13.0",2635,0.005
"B_063","B_063_EG_342019_7.qgd","1","C13.0",3634,0.0069
"B_064","B_064_EG_342019_9.qgd","1","C13.0",2920,0.0056
"B_005","B_005_Fucus_322019_20.qgd","1","C13.0",35944,0.0683
"B_006","B_006_Fucus_322019_21.qgd","1","C13.0",43464,0.0826
"B_030","B_030_Fucus_322019_13.qgd","1","C13.0",49519,0.0941
"B_031","B_031_Fucus_322019_14.qgd","1","C13.0",48496,0.0922
"B_066","B_066_Fucus_342019_8.qgd","1","C13.0",27707,0.0527
"B_067","B_067_Fucus_342019_19.qgd","1","C13.0",31506,0.0599
"B_033","B_033_SKelp_322019_15.qgd","1","C13.0",12892,0.0245
"B_034","B_034_SKelp_322019_24.qgd","1","C13.0",9717,0.0185
"B_060","B_060_SKelp_322019_16.qgd","1","C13.0",25607,0.0487
"B_061","B_061_SKelp_322019_18.qgd","1","C13.0",16340,0.0311
"B_001","B_001_ButterC__322019_11.qgd","1","C13.0",5313,0.0101
"B_002","B_002_ButterC_322019_12.qgd","1","C13.0",2907,0.0055
"B_048","B_048_ButterC_342019_18.qgd","1","C13.0",1814,0.0034
"B_050","B_050_Macoma_322019_7.qgd","1","C13.0",5514,0.0105
"B_018","B_018_Ido_342019_12.qgd","1","C13.0",5118,0.0097
"B_019","B_019_Ido_342019_13.qgd","1","C13.0",9516,0.0181
"B_020","B_020_Ido_342019_14.qgd","1","C13.0",5853,0.0111
"B_042","B_042_Ido_342019_16.qgd","1","C13.0",2755,0.0052
"B_079","B_079_Ido_342019_22.qgd","1","C13.0",8619,0.0164
"B_015","B_015_Dung_342019_11.qgd","1","C13.0",2757,0.0052
"B_287","B_287_Stag_322019_9.qgd","1","C13.0",3045,0.0058
"Blank","Blank_2-23__322019_10.qgd","1","C13.0",674,0.0013
"Blank","Blank_2-27__322019_19.qgd","1","C13.0",1197,0.0023
"Blank","Blank_2-28_064__342019_10.qgd","1","C13.0",313,6e-04
"Blank","Blank_3-1_342019_23.qgd","1","C13.0",320,6e-04
"B_008","B_008_Ulva_322019_22.qgd","1","C14.0",1218358,2.5307
"B_009","B_009_Ulva_322019_23.qgd","1","C14.0",1674229,3.4777
"B_035","B_035_Ulva_322019_25.qgd","1","C14.0",790454,1.6419
"B_036","B_036_Ulva_322019_26.qgd","1","C14.0",1191230,2.4744
"B_069","B_069_Ulva_342019_20.qgd","1","C14.0",1325745,2.7538
"B_070","B_070_Ulva_342019_21.qgd","1","C14.0",1288914,2.6773
"B_039","B_039_EG_322019_27.qgd","1","C14.0",211243,0.4388
"B_104","B_104_EG_322019_8.qgd","1","C14.0",160282,0.3329
"B_040","B_040_EG_342019_15.qgd","1","C14.0",225268,0.4679
"B_063","B_063_EG_342019_7.qgd","1","C14.0",352888,0.733
"B_064","B_064_EG_342019_9.qgd","1","C14.0",308521,0.6409
"B_005","B_005_Fucus_322019_20.qgd","1","C14.0",22230284,46.1761
"B_006","B_006_Fucus_322019_21.qgd","1","C14.0",27362460,56.8365
"B_030","B_030_Fucus_322019_13.qgd","1","C14.0",25549280,53.0702
"B_031","B_031_Fucus_322019_14.qgd","1","C14.0",26569292,55.189
"B_066","B_066_Fucus_342019_8.qgd","1","C14.0",21629930,44.9291
"B_067","B_067_Fucus_342019_19.qgd","1","C14.0",23186181,48.1617
"B_033","B_033_SKelp_322019_15.qgd","1","C14.0",5415303,11.2485
"B_034","B_034_SKelp_322019_24.qgd","1","C14.0",6082518,12.6344
"B_060","B_060_SKelp_322019_16.qgd","1","C14.0",6173267,12.8229
"B_061","B_061_SKelp_322019_18.qgd","1","C14.0",5928086,12.3136
"B_001","B_001_ButterC__322019_11.qgd","1","C14.0",1795380,3.7293
"B_002","B_002_ButterC_322019_12.qgd","1","C14.0",657552,1.3658
"B_048","B_048_ButterC_342019_18.qgd","1","C14.0",562098,1.1676
"B_050","B_050_Macoma_322019_7.qgd","1","C14.0",794181,1.6496
"B_018","B_018_Ido_342019_12.qgd","1","C14.0",973927,2.023
"B_019","B_019_Ido_342019_13.qgd","1","C14.0",1528821,3.1756
"B_020","B_020_Ido_342019_14.qgd","1","C14.0",1112519,2.3109
"B_042","B_042_Ido_342019_16.qgd","1","C14.0",253053,0.5256
"B_079","B_079_Ido_342019_22.qgd","1","C14.0",1110838,2.3074
"B_015","B_015_Dung_342019_11.qgd","1","C14.0",319489,0.6636
"B_287","B_287_Stag_322019_9.qgd","1","C14.0",809828,1.6822
"Blank","Blank_2-23__322019_10.qgd","1","C14.0",7054,0.0147
"Blank","Blank_2-27__322019_19.qgd","1","C14.0",14398,0.0299
"Blank","Blank_2-28_064__342019_10.qgd","1","C14.0",14327,0.0298
"Blank","Blank_3-1_342019_23.qgd","1","C14.0",9951,0.0207
"B_008","B_008_Ulva_322019_22.qgd","1","C14.1w5",970,0.0084
"B_009","B_009_Ulva_322019_23.qgd","1","C14.1w5",1486,0.0128
"B_035","B_035_Ulva_322019_25.qgd","1","C14.1w5",836,0.0072
"B_036","B_036_Ulva_322019_26.qgd","1","C14.1w5",825,0.0071
"B_069","B_069_Ulva_342019_20.qgd","1","C14.1w5",24,2e-04
"B_070","B_070_Ulva_342019_21.qgd","1","C14.1w5",15,1e-04
"B_039","B_039_EG_322019_27.qgd","1","C14.1w5",433,0.0037
"B_104","B_104_EG_322019_8.qgd","1","C14.1w5",205,0.0018
"B_040","B_040_EG_342019_15.qgd","1","C14.1w5",37,3e-04
"B_063","B_063_EG_342019_7.qgd","1","C14.1w5",16,1e-04
"B_064","B_064_EG_342019_9.qgd","1","C14.1w5",-21,-2e-04
"B_005","B_005_Fucus_322019_20.qgd","1","C14.1w5",105504,0.9089
"B_006","B_006_Fucus_322019_21.qgd","1","C14.1w5",142342,1.2263
"B_030","B_030_Fucus_322019_13.qgd","1","C14.1w5",228458,1.9681
"B_031","B_031_Fucus_322019_14.qgd","1","C14.1w5",263952,2.2739
"B_066","B_066_Fucus_342019_8.qgd","1","C14.1w5",89591,0.7718
"B_067","B_067_Fucus_342019_19.qgd","1","C14.1w5",110411,0.9512
"B_033","B_033_SKelp_322019_15.qgd","1","C14.1w5",10751,0.0926
"B_034","B_034_SKelp_322019_24.qgd","1","C14.1w5",17069,0.147
"B_060","B_060_SKelp_322019_16.qgd","1","C14.1w5",11345,0.0977
"B_061","B_061_SKelp_322019_18.qgd","1","C14.1w5",9305,0.0802
"B_001","B_001_ButterC__322019_11.qgd","1","C14.1w5",1411,0.0122
"B_002","B_002_ButterC_322019_12.qgd","1","C14.1w5",1000,0.0086
"B_048","B_048_ButterC_342019_18.qgd","1","C14.1w5",10,1e-04
"B_050","B_050_Macoma_322019_7.qgd","1","C14.1w5",1036,0.0089
"B_018","B_018_Ido_342019_12.qgd","1","C14.1w5",15,1e-04
"B_019","B_019_Ido_342019_13.qgd","1","C14.1w5",957,0.0082
"B_020","B_020_Ido_342019_14.qgd","1","C14.1w5",1,0
"B_042","B_042_Ido_342019_16.qgd","1","C14.1w5",28,2e-04
"B_079","B_079_Ido_342019_22.qgd","1","C14.1w5",69,6e-04
"B_015","B_015_Dung_342019_11.qgd","1","C14.1w5",482,0.0042
"B_287","B_287_Stag_322019_9.qgd","1","C14.1w5",1270,0.0109
"Blank","Blank_2-23__322019_10.qgd","1","C14.1w5",-22,-2e-04
"Blank","Blank_2-27__322019_19.qgd","1","C14.1w5",112,0.001
"Blank","Blank_2-28_064__342019_10.qgd","1","C14.1w5",0,0
"Blank","Blank_3-1_342019_23.qgd","1","C14.1w5",1046,0.009
"B_008","B_008_Ulva_322019_22.qgd","1","i.C15.0",22747,0.0465
"B_009","B_009_Ulva_322019_23.qgd","1","i.C15.0",34555,0.0706
"B_035","B_035_Ulva_322019_25.qgd","1","i.C15.0",19015,0.0388
"B_036","B_036_Ulva_322019_26.qgd","1","i.C15.0",31467,0.0643
"B_069","B_069_Ulva_342019_20.qgd","1","i.C15.0",46942,0.0959
"B_070","B_070_Ulva_342019_21.qgd","1","i.C15.0",45622,0.0932
"B_039","B_039_EG_322019_27.qgd","1","i.C15.0",2417,0.0049
"B_104","B_104_EG_322019_8.qgd","1","i.C15.0",3932,0.008
"B_040","B_040_EG_342019_15.qgd","1","i.C15.0",2317,0.0047
"B_063","B_063_EG_342019_7.qgd","1","i.C15.0",3874,0.0079
"B_064","B_064_EG_342019_9.qgd","1","i.C15.0",4101,0.0084
"B_005","B_005_Fucus_322019_20.qgd","1","i.C15.0",16349,0.0334
"B_006","B_006_Fucus_322019_21.qgd","1","i.C15.0",11392,0.0233
"B_030","B_030_Fucus_322019_13.qgd","1","i.C15.0",11915,0.0243
"B_031","B_031_Fucus_322019_14.qgd","1","i.C15.0",12628,0.0258
"B_066","B_066_Fucus_342019_8.qgd","1","i.C15.0",16942,0.0346
"B_067","B_067_Fucus_342019_19.qgd","1","i.C15.0",15004,0.0306
"B_033","B_033_SKelp_322019_15.qgd","1","i.C15.0",3116,0.0064
"B_034","B_034_SKelp_322019_24.qgd","1","i.C15.0",2801,0.0057
"B_060","B_060_SKelp_322019_16.qgd","1","i.C15.0",10417,0.0213
"B_061","B_061_SKelp_322019_18.qgd","1","i.C15.0",4311,0.0088
"B_001","B_001_ButterC__322019_11.qgd","1","i.C15.0",106180,0.2169
"B_002","B_002_ButterC_322019_12.qgd","1","i.C15.0",60574,0.1237
"B_048","B_048_ButterC_342019_18.qgd","1","i.C15.0",55106,0.1126
"B_050","B_050_Macoma_322019_7.qgd","1","i.C15.0",38050,0.0777
"B_018","B_018_Ido_342019_12.qgd","1","i.C15.0",136328,0.2785
"B_019","B_019_Ido_342019_13.qgd","1","i.C15.0",173098,0.3536
"B_020","B_020_Ido_342019_14.qgd","1","i.C15.0",110489,0.2257
"B_042","B_042_Ido_342019_16.qgd","1","i.C15.0",34208,0.0699
"B_079","B_079_Ido_342019_22.qgd","1","i.C15.0",81376,0.1662
"B_015","B_015_Dung_342019_11.qgd","1","i.C15.0",25957,0.053
"B_287","B_287_Stag_322019_9.qgd","1","i.C15.0",55101,0.1126
"Blank","Blank_2-23__322019_10.qgd","1","i.C15.0",0,0
"Blank","Blank_2-27__322019_19.qgd","1","i.C15.0",0,0
"Blank","Blank_2-28_064__342019_10.qgd","1","i.C15.0",0,0
"Blank","Blank_3-1_342019_23.qgd","1","i.C15.0",1046,0.0021
"B_008","B_008_Ulva_322019_22.qgd","1","C15.0",70594,0.1442
"B_009","B_009_Ulva_322019_23.qgd","1","C15.0",166580,0.3403
"B_035","B_035_Ulva_322019_25.qgd","1","C15.0",67324,0.1375
"B_036","B_036_Ulva_322019_26.qgd","1","C15.0",119272,0.2436
"B_069","B_069_Ulva_342019_20.qgd","1","C15.0",170963,0.3492
"B_070","B_070_Ulva_342019_21.qgd","1","C15.0",187796,0.3836
"B_039","B_039_EG_322019_27.qgd","1","C15.0",49243,0.1006
"B_104","B_104_EG_322019_8.qgd","1","C15.0",18972,0.0388
"B_040","B_040_EG_342019_15.qgd","1","C15.0",40861,0.0835
"B_063","B_063_EG_342019_7.qgd","1","C15.0",154438,0.3155
"B_064","B_064_EG_342019_9.qgd","1","C15.0",74559,0.1523
"B_005","B_005_Fucus_322019_20.qgd","1","C15.0",1066125,2.1777
"B_006","B_006_Fucus_322019_21.qgd","1","C15.0",1393169,2.8457
"B_030","B_030_Fucus_322019_13.qgd","1","C15.0",1196873,2.4448
"B_031","B_031_Fucus_322019_14.qgd","1","C15.0",1179982,2.4103
"B_066","B_066_Fucus_342019_8.qgd","1","C15.0",905950,1.8505
"B_067","B_067_Fucus_342019_19.qgd","1","C15.0",969592,1.9805
"B_033","B_033_SKelp_322019_15.qgd","1","C15.0",203187,0.415
"B_034","B_034_SKelp_322019_24.qgd","1","C15.0",244850,0.5001
"B_060","B_060_SKelp_322019_16.qgd","1","C15.0",309079,0.6313
"B_061","B_061_SKelp_322019_18.qgd","1","C15.0",197581,0.4036
"B_001","B_001_ButterC__322019_11.qgd","1","C15.0",748359,1.5286
"B_002","B_002_ButterC_322019_12.qgd","1","C15.0",437662,0.894
"B_048","B_048_ButterC_342019_18.qgd","1","C15.0",453199,0.9257
"B_050","B_050_Macoma_322019_7.qgd","1","C15.0",1108976,2.2652
"B_018","B_018_Ido_342019_12.qgd","1","C15.0",286531,0.5853
"B_019","B_019_Ido_342019_13.qgd","1","C15.0",293429,0.5994
"B_020","B_020_Ido_342019_14.qgd","1","C15.0",244039,0.4985
"B_042","B_042_Ido_342019_16.qgd","1","C15.0",162585,0.3321
"B_079","B_079_Ido_342019_22.qgd","1","C15.0",189456,0.387
"B_015","B_015_Dung_342019_11.qgd","1","C15.0",720772,1.4723
"B_287","B_287_Stag_322019_9.qgd","1","C15.0",208296,0.4255
"Blank","Blank_2-23__322019_10.qgd","1","C15.0",1872,0.0038
"Blank","Blank_2-27__322019_19.qgd","1","C15.0",4715,0.0096
"Blank","Blank_2-28_064__342019_10.qgd","1","C15.0",1649,0.0034
"Blank","Blank_3-1_342019_23.qgd","1","C15.0",1817,0.0037
"B_008","B_008_Ulva_322019_22.qgd","1","i.C16.0",0,0
"B_009","B_009_Ulva_322019_23.qgd","1","i.C16.0",0,0
"B_035","B_035_Ulva_322019_25.qgd","1","i.C16.0",0,0
"B_036","B_036_Ulva_322019_26.qgd","1","i.C16.0",0,0
"B_069","B_069_Ulva_342019_20.qgd","1","i.C16.0",0,0
"B_070","B_070_Ulva_342019_21.qgd","1","i.C16.0",0,0
"B_039","B_039_EG_322019_27.qgd","1","i.C16.0",0,0
"B_104","B_104_EG_322019_8.qgd","1","i.C16.0",0,0
"B_040","B_040_EG_342019_15.qgd","1","i.C16.0",0,0
"B_063","B_063_EG_342019_7.qgd","1","i.C16.0",0,0
"B_064","B_064_EG_342019_9.qgd","1","i.C16.0",0,0
"B_005","B_005_Fucus_322019_20.qgd","1","i.C16.0",0,0
"B_006","B_006_Fucus_322019_21.qgd","1","i.C16.0",0,0
"B_030","B_030_Fucus_322019_13.qgd","1","i.C16.0",0,0
"B_031","B_031_Fucus_322019_14.qgd","1","i.C16.0",0,0
"B_066","B_066_Fucus_342019_8.qgd","1","i.C16.0",0,0
"B_067","B_067_Fucus_342019_19.qgd","1","i.C16.0",0,0
"B_033","B_033_SKelp_322019_15.qgd","1","i.C16.0",0,0
"B_034","B_034_SKelp_322019_24.qgd","1","i.C16.0",0,0
"B_060","B_060_SKelp_322019_16.qgd","1","i.C16.0",0,0
"B_061","B_061_SKelp_322019_18.qgd","1","i.C16.0",0,0
"B_001","B_001_ButterC__322019_11.qgd","1","i.C16.0",720429,1.5671
"B_002","B_002_ButterC_322019_12.qgd","1","i.C16.0",431019,0.9375
"B_048","B_048_ButterC_342019_18.qgd","1","i.C16.0",478325,1.0404
"B_050","B_050_Macoma_322019_7.qgd","1","i.C16.0",322329,0.7011
"B_018","B_018_Ido_342019_12.qgd","1","i.C16.0",86885,0.189
"B_019","B_019_Ido_342019_13.qgd","1","i.C16.0",80343,0.1748
"B_020","B_020_Ido_342019_14.qgd","1","i.C16.0",60531,0.1317
"B_042","B_042_Ido_342019_16.qgd","1","i.C16.0",44371,0.0965
"B_079","B_079_Ido_342019_22.qgd","1","i.C16.0",42446,0.0923
"B_015","B_015_Dung_342019_11.qgd","1","i.C16.0",187462,0.4078
"B_287","B_287_Stag_322019_9.qgd","1","i.C16.0",77734,0.1691
"Blank","Blank_2-23__322019_10.qgd","1","i.C16.0",0,0
"Blank","Blank_2-27__322019_19.qgd","1","i.C16.0",0,0
"Blank","Blank_2-28_064__342019_10.qgd","1","i.C16.0",0,0
"Blank","Blank_3-1_342019_23.qgd","1","i.C16.0",0,0
"B_008","B_008_Ulva_322019_22.qgd","1","C16.0",25771423,56.0571
"B_009","B_009_Ulva_322019_23.qgd","1","C16.0",28663731,62.3484
"B_035","B_035_Ulva_322019_25.qgd","1","C16.0",19600431,42.6342
"B_036","B_036_Ulva_322019_26.qgd","1","C16.0",24984977,54.3465
"B_069","B_069_Ulva_342019_20.qgd","1","C16.0",21131341,45.9642
"B_070","B_070_Ulva_342019_21.qgd","1","C16.0",27139100,59.0321
"B_039","B_039_EG_322019_27.qgd","1","C16.0",14325291,31.1599
"B_104","B_104_EG_322019_8.qgd","1","C16.0",8543113,18.5827
"B_040","B_040_EG_342019_15.qgd","1","C16.0",12642723,27.5
"B_063","B_063_EG_342019_7.qgd","1","C16.0",16686585,36.2961
"B_064","B_064_EG_342019_9.qgd","1","C16.0",14698381,31.9714
