"Species_common","FA","n_all_sp","n","mean_prop_corr","sd_prop_corr","min_prop_corr","max_prop_corr"
"Bentnose Macoma","a.C17.0",5,5,0.0246180931906355,0.00171973258780263,0.022473287990459,0.0269572076663876
"Bentnose Macoma","C14.0",5,2,0.0115896735288457,0.000554466471839133,0.0111976065266677,0.0119817405310237
"Bentnose Macoma","C15.0",5,5,0.00921751119743169,0.00127033496183504,0.00774421949251839,0.010712749320079
"Bentnose Macoma","C16.0",5,5,0.0775391041479467,0.00761597069317661,0.0704487105797601,0.0870828132595402
"Bentnose Macoma","C16.1w",5,4,0.00717513586814431,0.00213130300947229,0.00523962325652546,0.00956362203281741
"Bentnose Macoma","C16.1w5",5,1,0.00566064165292509,NA,0.00566064165292509,0.00566064165292509
"Bentnose Macoma","C16.1w7",5,5,0.0196010781796114,0.018864715562379,0.00516073707540745,0.0417534388754663
"Bentnose Macoma","C16.2w6",5,2,0.00636075632243141,0.000724513710968434,0.005848447764343,0.00687306488051982
"Bentnose Macoma","C17.0",5,3,0.00824638977227584,0.00100871701959616,0.00741467838914083,0.0093684339351424
"Bentnose Macoma","C17.1w",5,3,0.0558763657607587,0.012915316100331,0.0411258000967089,0.0651545409739715
"Bentnose Macoma","C18.0",5,5,0.0502714467779539,0.00594129139000958,0.0437740195618781,0.0569548904101415
"Bentnose Macoma","C18.1w",5,1,0.00989843063285529,NA,0.00989843063285529,0.00989843063285529
"Bentnose Macoma","C18.1w9",5,5,0.0135431174086199,0.0017441721330519,0.0113212679213306,0.0154754263765389
"Bentnose Macoma","C18.4w3",5,5,0.0200452763069039,0.00728230612764079,0.0146425241504264,0.0317186180333275
"Bentnose Macoma","C19.0",5,5,0.135495303365971,0.0160412629382835,0.119260977334267,0.158275813819929
"Bentnose Macoma","C20.1w",5,3,0.171051463661258,0.101972231598426,0.107396899004178,0.288665739851929
"Bentnose Macoma","C20.1w.1",5,1,0.107946896638567,NA,0.107946896638567,0.107946896638567
"Bentnose Macoma","C20.1w7",5,2,0.111509198759133,0.000486524028624789,0.111165174319283,0.111853223198984
"Bentnose Macoma","C20.1w9",5,4,0.298067738011924,0.0217895146971702,0.275130883676916,0.318755947266683
"Bentnose Macoma","C20.2w",5,1,0.00604764586442124,NA,0.00604764586442124,0.00604764586442124
"Bentnose Macoma","C20.2w6",5,3,0.00991959986810556,0.003638569626173,0.00571814615976162,0.0120257097503183
"Bentnose Macoma","C20.4w3",5,3,0.00711849742961457,0.000573967098520118,0.00648679035153704,0.00760798234776916
