site,transect_location,species_common,death_estimate,width_mm
Big Clam Bay,Edge,Butter clam,Sea Otter,83
Big Clam Bay,Edge,Butter clam,Sea Otter,61
Big Clam Bay,Edge,Butter clam,Sea Otter,70
Big Clam Bay,Edge,Butter clam,Sea Otter,70
Big Clam Bay,Edge,Butter clam,Whole,72
Big Clam Bay,Edge,Butter clam,Whole,64
Big Clam Bay,Edge,Butter clam,Whole,68
Big Clam Bay,Edge,Butter clam,Whole,71
Big Clam Bay,Edge,Cockle,Sea Otter,20
Big Clam Bay,Edge,Cockle,Whole,77
Big Clam Bay,Edge,Cockle,Whole,72
Big Clam Bay,Edge,Cockle,Whole,49
Big Clam Bay,Edge,Cockle,Whole,60
Big Clam Bay,Edge,Steamer clam,Whole,56
Big Clam Bay,Inside,Bentnose macoma,Whole,41
Big Clam Bay,Inside,Bentnose macoma,Whole,56
Big Clam Bay,Inside,Cockle,Crab,88
Big Clam Bay,Inside,Cockle,Crab,76
Big Clam Bay,Inside,Cockle,Whole,78
Big Clam Bay,Inside,Cockle,Whole,73
Big Clam Bay,Inside,Cockle,Whole,79
Big Clam Bay,Inside,Cockle,Whole,85
Big Clam Bay,Inside,Cockle,Whole,82
Big Clam Bay,Inside,Cockle,Whole,86
Big Clam Bay,Inside,Cockle,Whole,85
Big Clam Bay,Inside,Cockle,Whole,72
Big Clam Bay,Outside,Butter clam,Sea Otter,71
Big Clam Bay,Outside,Butter clam,Sea Otter,64
Big Clam Bay,Outside,Butter clam,Crab,68
Big Clam Bay,Outside,Butter clam,Crab,59
Big Clam Bay,Outside,Butter clam,Whole,72
Big Clam Bay,Outside,Butter clam,Whole,75
Big Clam Bay,Outside,Butter clam,Whole,43
Big Clam Bay,Outside,Butter clam,Whole,29
Big Clam Bay,Outside,Butter clam,Whole,41
Big Clam Bay,Outside,Butter clam,Whole,12
Big Clam Bay,Outside,Cockle,Whole,21
Big Clam Bay,Outside,Cockle,Whole,19
Big Clam Bay,Outside,Cockle,Whole,22
Big Tree Bay,Edge,Bentnose macoma,Whole,45
Big Tree Bay,Edge,Butter clam,Sea Otter,75
Big Tree Bay,Edge,Butter clam,Sea Otter,49
Big Tree Bay,Edge,Butter clam,Whole,43
Big Tree Bay,Edge,Butter clam,Whole,41
Big Tree Bay,Edge,Cockle,Sea Otter,41
Big Tree Bay,Edge,Cockle,Sea Otter,23
Big Tree Bay,Edge,Cockle,Crab,17
Big Tree Bay,Edge,Cockle,Whole,31
Big Tree Bay,Edge,Cockle,Whole,25
Big Tree Bay,Edge,Cockle,Whole,28
Big Tree Bay,Edge,Cockle,Whole,21
Big Tree Bay,Edge,Cockle,Whole,21
Big Tree Bay,Edge,Cockle,Whole,31
Big Tree Bay,Edge,Cockle,Whole,38
Big Tree Bay,Edge,Cockle,Whole,29
Big Tree Bay,Edge,Cockle,Whole,42
Big Tree Bay,Edge,Cockle,Whole,35
Big Tree Bay,Edge,Cockle,Whole,16
Big Tree Bay,Edge,Cockle,Whole,20
Big Tree Bay,Edge,Cockle,Whole,30
Big Tree Bay,Edge,Cockle,Whole,16
Big Tree Bay,Edge,Cockle,Whole,40
Big Tree Bay,Edge,Cockle,Whole,18
Big Tree Bay,Edge,Cockle,Whole,30
Big Tree Bay,Edge,Cockle,Whole,32
Big Tree Bay,Edge,Cockle,Whole,17
Big Tree Bay,Edge,Cockle,Whole,27
Big Tree Bay,Edge,Cockle,Whole,27
Big Tree Bay,Edge,Pointed macoma,Sea Otter,31
Big Tree Bay,Edge,Pointed macoma,Sea Otter,43
Big Tree Bay,Edge,Pointed macoma,Sea Otter,32
Big Tree Bay,Edge,Pointed macoma,Sea Otter,35
Big Tree Bay,Edge,Pointed macoma,Sea Otter,30
Big Tree Bay,Edge,Pointed macoma,Whole,45
Big Tree Bay,Edge,Pointed macoma,Whole,25
Big Tree Bay,Edge,Pointed macoma,Whole,53
Big Tree Bay,Edge,Pointed macoma,Whole,36
Big Tree Bay,Edge,Pointed macoma,Whole,34
Big Tree Bay,Edge,Pointed macoma,Whole,31
Big Tree Bay,Edge,Pointed macoma,Whole,30
Big Tree Bay,Edge,Pointed macoma,Whole,33
Big Tree Bay,Edge,Pointed macoma,Whole,39
Big Tree Bay,Edge,Pointed macoma,Whole,27
Big Tree Bay,Edge,Pointed macoma,Whole,20
Big Tree Bay,Edge,Pointed macoma,Whole,37
Big Tree Bay,Edge,Pointed macoma,Whole,37
Big Tree Bay,Edge,Pointed macoma,Whole,21
Big Tree Bay,Edge,Pointed macoma,Whole,33
Big Tree Bay,Edge,Pointed macoma,Whole,36
Big Tree Bay,Edge,Pointed macoma,Whole,33
Big Tree Bay,Edge,Steamer clam,Whole,31
Big Tree Bay,Edge,Steamer clam,Whole,15
Big Tree Bay,Inside,Bentnose macoma,Sea Otter,62
Big Tree Bay,Inside,Bentnose macoma,Crab,43
Big Tree Bay,Inside,Bentnose macoma,Whole,64
Big Tree Bay,Inside,Bentnose macoma,Whole,62
Big Tree Bay,Inside,Bentnose macoma,Whole,53
Big Tree Bay,Inside,Bentnose macoma,Whole,51
Big Tree Bay,Inside,Bentnose macoma,Whole,38
Big Tree Bay,Inside,Butter clam,Sea Otter,55
Big Tree Bay,Inside,Butter clam,Sea Otter,39
Big Tree Bay,Inside,Cockle,Whole,40
Big Tree Bay,Inside,Cockle,Whole,44
Big Tree Bay,Inside,Pointed macoma,Sea Otter,37
Big Tree Bay,Inside,Pointed macoma,Sea Otter,56
