site,trans_loc,trans_bin,n_pits,sed1,sed2
Big Clam Bay,Edge,1,0,4,7
Big Clam Bay,Edge,2,0,4,7
Big Clam Bay,Edge,3,0,4,7
Big Clam Bay,Edge,4,1,4,7
Big Clam Bay,Edge,5,2,4,7
Big Clam Bay,Inside,1,0,4,4
Big Clam Bay,Inside,2,0,4,4
Big Clam Bay,Inside,3,0,4,4
Big Clam Bay,Inside,4,0,4,4
Big Clam Bay,Inside,5,0,4,4
Big Clam Bay,Outside,1,0,7,4
Big Clam Bay,Outside,2,0,7,4
Big Clam Bay,Outside,3,1,7,4
Big Clam Bay,Outside,4,0,7,7
Big Clam Bay,Outside,5,0,7,4
Big Tree Bay,Edge,1,0,4,6
Big Tree Bay,Edge,2,2,4,6
Big Tree Bay,Edge,3,1,4,6
Big Tree Bay,Edge,4,1,4,6
Big Tree Bay,Edge,5,1,4,4
Big Tree Bay,Inside,1,2,3,3
Big Tree Bay,Inside,2,2,3,3
Big Tree Bay,Inside,3,0,3,3
Big Tree Bay,Inside,4,0,3,3
Big Tree Bay,Inside,5,0,3,2
Big Tree Bay,Outside,1,1,4,7
Big Tree Bay,Outside,2,0,4,7
Big Tree Bay,Outside,3,1,4,7
Big Tree Bay,Outside,4,2,4,7
Big Tree Bay,Outside,5,1,4,6
Blanquizal Bay,Edge,1,7,4,7
Blanquizal Bay,Edge,2,2,4,7
Blanquizal Bay,Edge,3,3,3,7
Blanquizal Bay,Edge,4,5,4,7
Blanquizal Bay,Edge,5,2,4,7
Blanquizal Bay,Inside,1,0,3,3
Blanquizal Bay,Inside,2,1,3,2
Blanquizal Bay,Inside,3,0,3,2
Blanquizal Bay,Inside,4,2,3,3
Blanquizal Bay,Inside,5,2,3,3
Blanquizal Bay,Outside,1,4,4,7
Blanquizal Bay,Outside,2,6,4,7
Blanquizal Bay,Outside,3,7,3,7
Blanquizal Bay,Outside,4,4,4,7
Blanquizal Bay,Outside,5,2,4,8
Chusini,Edge,1,11,1,1
Chusini,Edge,2,12,1,1
Chusini,Edge,3,5,1,1
Chusini,Edge,4,5,1,1
Chusini,Edge,5,4,1,1
Chusini,Inside,1,16,1,1
Chusini,Inside,2,12,1,1
Chusini,Inside,3,8,1,1
Chusini,Inside,4,13,1,1
Chusini,Inside,5,10,1,1
Chusini,Outside,1,4,2,4
Chusini,Outside,2,13,3,4
Chusini,Outside,3,11,2,4
Chusini,Outside,4,2,1,3
Chusini,Outside,5,7,1,2
Dunbar Inlet,Edge,1,1,3,7
Dunbar Inlet,Edge,2,0,3,7
Dunbar Inlet,Edge,3,1,3,7
Dunbar Inlet,Edge,4,0,3,7
Dunbar Inlet,Edge,5,0,3,7
Dunbar Inlet,Inside,1,2,4,3
Dunbar Inlet,Inside,2,2,4,3
Dunbar Inlet,Inside,3,0,4,3
Dunbar Inlet,Inside,4,1,4,3
Dunbar Inlet,Inside,5,0,4,3
Dunbar Inlet,Outside,1,5,3,7
Dunbar Inlet,Outside,2,1,3,7
