"site","longitude","latitude","date_grass_MM.DD.YY","date_otts1_MM.DD.YY","date_otts2_MM.DD.YY","site_polygon_area_km2","so_duration","pop_dens_surv_km2","dens_otter1","dens_otter2","n_pits","prop_otter_shells","sea_otter_index"
"Big Clam Bay",-132.973932,55.227691,"07/13/18","07/18/18","07/26/18",6.485,7,0.154,0.15420200462606,0,4,0.179487179487179,-0.650735805543275
"Big Tree Bay",-133.215512,55.585855,"07/11/18","07/19/18","08/01/18",13.8025,14,1.341,5.07154500996196,6.59300851295055,14,0.194174757281553,0.230586871002594
"Blanquizal Bay",-133.387067,55.621174,"06/18/18","06/25/18","08/05/18",14.5775,14,2.877,3.56714114217115,4.80192076830732,47,0.461538461538462,0.482844853856935
"Chusini",-133.167403,55.813558,"06/13/18","06/07/18","07/27/18",12.57,14,2.877,7.39856801909308,3.73906125696102,133,0.330357142857143,0.718716733076907
"Dunbar Inlet",-132.826,55.0848,"08/11/18","07/24/18","08/10/18",9.44,7,0.154,0.635593220338983,2.96610169491525,23,0.1,-0.533528291122124
"Garcia Cove",-133.430032,55.552181,"07/12/18","05/23/18","07/25/18",10.0575,14,2.877,4.67312950534427,3.77827491921452,278,0.608465608465608,0.671588146757964
"Goat Mouth Inlet",-132.9,55.19286,"06/14/18","06/12/18","07/26/18",4.4925,7,0.154,0,0,52,0.676470588235294,-0.661130512354998
"Guktu Cove",-133.311306,55.740264,"05/31/18","06/06/18","07/31/18",8.33,14,2.877,5.6422569027611,15.7262905162065,94,0.282178217821782,0.903618956598318
"Hauti Island",-133.156399,55.865721,"05/29/18","06/06/18","07/31/18",11.3525,14,2.877,1.67364016736402,2.46641708874697,134,0.482758620689655,0.39478069528899
"Kaguk Cove",-133.29047,55.733423,"05/30/18","06/06/18","07/31/18",6.745,14,2.877,5.33728687916976,16.0118606375093,27,0.474576271186441,0.831237380300071
"Kinani",-133.250006,55.889904,"07/14/18","06/07/18","08/05/18",10.41,14,2.877,8.74159462055716,8.74159462055716,67,0.197183098591549,0.869851010449307
"Mushroom Island",-132.846741,55.214375,"06/16/18","06/12/18","07/26/18",17.635,7,0.154,0,0,34,0.684210526315789,-0.67505399307235
"N Fish Egg Island",-133.170812,55.496472,"06/28/18","07/09/18","08/08/18",15.49,14,1.341,0.0645577792123951,0.193673337637185,12,0.315789473684211,-0.184663984659917
"Natzuhini Bay 1",-132.879147,55.247539,"06/15/18","06/12/18","07/26/18",13.15,7,0.154,0,0,46,0.586206896551724,-0.658607259364204
"Natzuhini Bay 2",-132.837131,55.241887,"06/16/18","06/12/18","07/26/18",15.03,7,0.154,0,0,50,0.888888888888889,-0.679002761878358
"North Pass",-132.910143,55.228252,"06/15/18","06/12/18","07/26/18",8.1725,7,0.154,0,0,41,0.769230769230769,-0.676432282506952
"Nossuk Bay 1",-133.348326,55.709094,"05/19/18","05/05/18","08/05/18",6.4025,14,2.877,1.71807887543928,5.15423662631784,98,0.53030303030303,0.43310431207922
"Nossuk Bay 2",-133.325372,55.722637,"06/30/18","05/05/18","08/05/18",7.435,14,2.877,1.74848688634835,4.57296570275723,80,0.112781954887218,0.439118856446892
"Port Caldera",-133.161232,55.36209,"07/10/18","07/09/18","07/26/18",5.83,7,1.341,0,0,4,0.101694915254237,-0.368929363089512
"Port Refugio",-133.334028,55.282137,"08/10/18","07/24/18","08/14/18",5.025,7,0.154,0,0,4,0,-0.644466282206855
"S Fish Egg Island",-133.174447,55.485687,"06/25/18","07/09/18","08/08/18",24.2725,14,1.341,0.988773303120816,0.659182202080544,95,0.26510067114094,-0.0623573049551667
"S Wadleigh Island",-133.147345,55.528424,"06/12/18","06/11/18","08/03/18",20.6,14,1.341,0.339805825242718,0.388349514563107,28,0.485294117647059,-0.167553167520017
"Salt Lake Bay",-133.377377,55.684275,"05/18/18","05/07/18","07/12/18",12.49,14,2.877,5.04403522818255,8.24659727782226,165,0.5,0.725019115314191
"Shinaku Inlet",-133.160431,55.599083,"06/17/18","07/15/18","08/01/18",11.335,14,1.341,3.5288928098809,9.70445522717247,35,0.317460317460317,0.237715937033789
"Soda Bay",-132.994318,55.264232,"06/27/18","07/18/18","07/29/18",9.52,7,0.154,5.14705882352941,1.89075630252101,24,0.151785714285714,-0.341581438323544
"Sukkwan Narrows",-132.842514,55.188785,"06/14/18","06/12/18","07/26/18",13.8775,7,0.154,0.0720590884525311,0,69,0.535714285714286,-0.634140421607906
