"","site_code","site_name","latitude_N","longitude_E","date_MMDDYY","date_YYYYMMDD","trans_type","trans_bin","trans_m","pit_bin","sed1_type","sed2_type","sed1_no","sed2_no","sed_avg_no"
"1","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Edge",1,10,0,"Mud","Mud",1,1,1
"2","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Edge",2,20,0,"Sandy Mud","Sand",2,3,2.5
"3","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Edge",3,30,2,"Sand","Pebble",4,6,5
"4","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Edge",4,40,0,"Sand","Pebble",4,3,3.5
"5","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Edge",5,50,0,"Muddy Sand","Muddy Sand",3,3,3
"6","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Edge",6,60,0,"Sand","Pebble",4,6,5
"7","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Edge",7,70,3,"Sand","Pebble",4,6,5
"8","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Edge",8,80,0,"Sand","Pebble",4,6,5
"9","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Edge",9,90,1,"Sand","Pebble",4,6,5
"10","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Edge",10,100,0,"Sand","Pebble",4,6,5
"11","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Inside",1,10,0,"Mud","Mud",1,1,1
"12","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Inside",2,20,0,"Mud","Mud",1,1,1
"13","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Inside",3,30,2,"Gravel","Mud",7,1,4
"14","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Inside",4,40,0,"Mud","Mud",1,1,1
"15","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Inside",5,50,0,"Mud","Mud",1,1,1
"16","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Inside",6,60,0,"Mud","Mud",1,1,1
"17","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Inside",7,70,1,"Mud","Mud",1,1,1
"18","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Inside",8,80,0,"Mud","Mud",1,1,1
"19","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Inside",9,90,0,"Mud","Mud",1,1,1
"20","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Inside",10,100,0,"Mud","Mud",1,1,1
"21","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Outside",1,10,5,"Muddy Sand","Muddy Sand",3,3,3
"22","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Outside",2,20,5,"Muddy Sand","Muddy Sand",3,3,3
"23","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Outside",3,30,5,"Muddy Sand","Cobble",3,8,5.5
"24","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Outside",4,40,5,"Muddy Sand","Cobble",3,8,5.5
"25","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Outside",5,50,10,"Muddy Sand","Cobble",3,8,5.5
"26","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Outside",6,60,5,"Muddy Sand","Muddy Sand",3,3,3
"27","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Outside",7,70,10,"Muddy Sand","Muddy Sand",3,3,3
"28","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Outside",8,80,25,"Sandy Mud","Mud",2,1,1.5
"29","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Outside",9,90,30,"Sandy Mud","Mud",2,1,1.5
"30","H_01_a","Salt Lake Bay a",55.67264,-133.378,"8/18/2013",20170819,"Outside",10,100,5,"Sandy Mud","Mud",2,1,1.5
"31","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Edge",1,10,0,"Mud","Mud",1,1,1
"32","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Edge",2,20,1,"Mud","Mud",1,1,1
"33","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Edge",3,30,1,"Mud","Mud",1,1,1
"34","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Edge",4,40,3,"Sandy Mud","Coarse Sand",2,5,3.5
"35","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Edge",5,50,4,"Sandy Mud","Coarse Sand",2,5,3.5
"36","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Edge",6,60,2,"Sandy Mud","Mud",2,1,1.5
"37","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Edge",7,70,3,"Sandy Mud","Mud",2,1,1.5
"38","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Edge",8,80,2,"Mud","Mud",1,1,1
"39","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Edge",9,90,0,"Mud","Mud",1,1,1
"40","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Edge",10,100,0,"Mud","Mud",1,1,1
"41","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Inside",1,10,0,"Mud","Mud",1,1,1
"42","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Inside",2,20,0,"Mud","Mud",1,1,1
"43","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Inside",3,30,0,"Mud","Mud",1,1,1
"44","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Inside",4,40,1,"Sandy Mud","Mud",2,1,1.5
"45","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Inside",5,50,2,"Sandy Mud","Gravel",2,7,4.5
"46","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Inside",6,60,1,"Sandy Mud","Mud",2,1,1.5
"47","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Inside",7,70,0,"Mud","Mud",1,1,1
"48","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Inside",8,80,0,"Mud","Mud",1,1,1
"49","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Inside",9,90,0,"Mud","Mud",1,1,1
"50","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Inside",10,100,0,"Mud","Mud",1,1,1
"51","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Outside",1,10,0,"Mud","Mud",1,1,1
"52","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Outside",2,20,0,"Mud","Mud",1,1,1
"53","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Outside",3,30,0,"Mud","Sandy mud",1,2,1.5
"54","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Outside",4,40,0,"Mud","Sandy mud",1,2,1.5
"55","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Outside",5,50,0,"Mud","Sandy mud",1,2,1.5
"56","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Outside",6,60,1,"Muddy Sand","Coarse Sand",3,5,4
"57","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Outside",7,70,1,"Muddy Sand","Sand",3,4,3.5
"58","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Outside",8,80,0,"Coarse Sand","Sand",5,4,4.5
"59","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Outside",9,90,0,"Muddy Sand","Coarse Sand",3,5,4
"60","H_02_a","Nossuk Bay a",55.7073,-133.342,"8/21/2013",20170822,"Outside",10,100,1,"Muddy Sand","Coarse Sand",3,5,4
"61","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Edge",1,10,1,"Mud","Mud",1,1,1
"62","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Edge",2,20,0,"Mud","Mud",1,1,1
"63","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Edge",3,30,1,"Mud","Mud",1,1,1
"64","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Edge",4,40,1,"Mud","Mud",1,1,1
"65","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Edge",5,50,0,"Mud","Mud",1,1,1
"66","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Edge",6,60,0,"Mud","Mud",1,1,1
"67","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Edge",7,70,0,"Mud","Mud",1,1,1
"68","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Edge",8,80,0,"Mud","Mud",1,1,1
"69","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Edge",9,90,0,"Mud","Mud",1,1,1
"70","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Edge",10,100,0,"Mud","Mud",1,1,1
"71","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Inside",1,10,0,"Mud","Mud",1,1,1
"72","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Inside",2,20,0,"Mud","Mud",1,1,1
"73","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Inside",3,30,0,"Mud","Mud",1,1,1
"74","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Inside",4,40,0,"Mud","Mud",1,1,1
"75","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Inside",5,50,0,"Mud","Mud",1,1,1
"76","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Inside",6,60,0,"Mud","Mud",1,1,1
"77","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Inside",7,70,0,"Mud","Mud",1,1,1
"78","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Inside",8,80,0,"Mud","Mud",1,1,1
"79","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Inside",9,90,0,"Mud","Mud",1,1,1
"80","H_03_a","Chusini Cove a",55.80692,-133.171,"8/20/2013",20170821,"Inside",10,100,0,"Mud","Mud",1,1,1
